t_global,hour,local_hour,thermal_demand_kw
0,0,0,6.575342465753424
1,1,1,4.383561643835616
2,2,2,4.383561643835616
3,3,3,4.383561643835616
4,4,4,6.575342465753424
5,5,5,17.534246575342465
6,6,6,35.06849315068493
7,7,7,43.83561643835616
8,8,8,39.45205479452055
9,9,9,24.10958904109589
10,10,10,17.534246575342465
11,11,11,15.342465753424655
12,12,12,15.342465753424655
13,13,13,15.342465753424655
14,14,14,17.534246575342465
15,15,15,21.91780821917808
16,16,16,30.68493150684931
17,17,17,39.45205479452055
18,18,18,43.83561643835616
19,19,19,43.83561643835616
20,20,20,39.45205479452055
21,21,21,30.68493150684931
22,22,22,19.726027397260275
23,23,23,10.95890410958904
24,24,0,6.575342465753424
25,25,1,4.383561643835616
26,26,2,4.383561643835616
27,27,3,4.383561643835616
28,28,4,6.575342465753424
29,29,5,17.534246575342465
30,30,6,35.06849315068493
31,31,7,43.83561643835616
32,32,8,39.45205479452055
33,33,9,24.10958904109589
34,34,10,17.534246575342465
35,35,11,15.342465753424655
36,36,12,15.342465753424655
37,37,13,15.342465753424655
38,38,14,17.534246575342465
39,39,15,21.91780821917808
40,40,16,30.68493150684931
41,41,17,39.45205479452055
42,42,18,43.83561643835616
43,43,19,43.83561643835616
44,44,20,39.45205479452055
45,45,21,30.68493150684931
46,46,22,19.726027397260275
47,47,23,10.95890410958904
48,48,0,6.575342465753424
49,49,1,4.383561643835616
50,50,2,4.383561643835616
51,51,3,4.383561643835616
52,52,4,6.575342465753424
53,53,5,17.534246575342465
54,54,6,35.06849315068493
55,55,7,43.83561643835616
56,56,8,39.45205479452055
57,57,9,24.10958904109589
58,58,10,17.534246575342465
59,59,11,15.342465753424655
60,60,12,15.342465753424655
61,61,13,15.342465753424655
62,62,14,17.534246575342465
63,63,15,21.91780821917808
64,64,16,30.68493150684931
65,65,17,39.45205479452055
66,66,18,43.83561643835616
67,67,19,43.83561643835616
68,68,20,39.45205479452055
69,69,21,30.68493150684931
70,70,22,19.726027397260275
71,71,23,10.95890410958904
72,72,0,6.575342465753424
73,73,1,4.383561643835616
74,74,2,4.383561643835616
75,75,3,4.383561643835616
76,76,4,6.575342465753424
77,77,5,17.534246575342465
78,78,6,35.06849315068493
79,79,7,43.83561643835616
80,80,8,39.45205479452055
81,81,9,24.10958904109589
82,82,10,17.534246575342465
83,83,11,15.342465753424655
84,84,12,15.342465753424655
85,85,13,15.342465753424655
86,86,14,17.534246575342465
87,87,15,21.91780821917808
88,88,16,30.68493150684931
89,89,17,39.45205479452055
90,90,18,43.83561643835616
91,91,19,43.83561643835616
92,92,20,39.45205479452055
93,93,21,30.68493150684931
94,94,22,19.726027397260275
95,95,23,10.95890410958904
96,96,0,6.575342465753424
97,97,1,4.383561643835616
98,98,2,4.383561643835616
99,99,3,4.383561643835616
100,100,4,6.575342465753424
101,101,5,17.534246575342465
102,102,6,35.06849315068493
103,103,7,43.83561643835616
104,104,8,39.45205479452055
105,105,9,24.10958904109589
106,106,10,17.534246575342465
107,107,11,15.342465753424655
108,108,12,15.342465753424655
109,109,13,15.342465753424655
110,110,14,17.534246575342465
111,111,15,21.91780821917808
112,112,16,30.68493150684931
113,113,17,39.45205479452055
114,114,18,43.83561643835616
115,115,19,43.83561643835616
116,116,20,39.45205479452055
117,117,21,30.68493150684931
118,118,22,19.726027397260275
119,119,23,10.95890410958904
120,120,0,6.575342465753424
121,121,1,4.383561643835616
122,122,2,4.383561643835616
123,123,3,4.383561643835616
124,124,4,6.575342465753424
125,125,5,17.534246575342465
126,126,6,35.06849315068493
127,127,7,43.83561643835616
128,128,8,39.45205479452055
129,129,9,24.10958904109589
130,130,10,17.534246575342465
131,131,11,15.342465753424655
