hour,demand_kw,pv_factor
0,919.8685661204493,0.0
1,894.4694279531526,0.0
2,925.9075415240277,0.0
3,960.921194256321,0.0
4,890.6338650110665,0.0
5,890.6345217220328,0.0
6,238.16851262029564,0.0
7,205.69738916611635,0.25881904510252074
8,156.2210245626019,0.49999999999999994
9,196.7024017434386,0.7071067811865476
10,231.4632922875015,0.8660254037844386
11,231.37080985718973,0.9659258262890683
12,259.67849086264135,1.0
13,173.46879021368807,0.9659258262890683
14,181.00328669947868,0.8660254037844387
15,227.50849883036108,0.7071067811865476
16,209.48675518662304,0.49999999999999994
17,262.56989330381094,0.258819045102521
18,113.67903697915156,1.2246467991473532e-16
19,93.50785194658835,0.0
20,208.62595075686215,0.0
21,140.9689479805386,0.0
22,902.7011281875169,0.0
23,843.0100725514617,0.0
0,878.2246910189926,0.0
1,904.4369035883947,0.0
2,853.9602569031078,0.0
3,915.0279207338269,0.0
4,875.9744524032478,0.0
5,888.3322500082689,0.0
6,150.93173551082413,0.0
7,249.0911273803575,0.25881904510252074
8,174.46011101048265,0.49999999999999994
9,132.69156284176398,0.7071067811865476
10,282.90179648412754,0.8660254037844386
11,201.1662540011591,0.9659258262890683
12,258.35454380019024,1.0
13,171.61319504480898,0.9659258262890683
14,196.87255804406277,0.8660254037844387
15,257.8744494347649,0.7071067811865476
16,279.5386631998164,0.49999999999999994
17,256.8547312475988,0.258819045102521
18,145.37406870447037,1.2246467991473532e-16
19,137.95585217642844,0.0
20,90.8591203853029,0.0
21,121.20623166421166,0.0
22,881.5744491616085,0.0
23,942.2848890487567,0.0
0,913.7447315827385,0.0
1,829.4783937854907,0.0
2,912.9633587757918,0.0
3,884.5967087833474,0.0
4,872.9231199877617,0.0
5,924.4670515536347,0.0
6,216.23998089983803,0.0
7,212.25120476464795,0.25881904510252074
8,141.43129907109446,0.49999999999999994
9,162.63150496595142,0.7071067811865476
10,263.25053725614254,0.8660254037844386
11,289.02180508489437,0.9659258262890683
12,230.8330304861884,1.0
13,242.5736409334473,0.9659258262890683
14,205.74660103975887,0.8660254037844387
15,202.15173503677318,0.7071067811865476
16,282.50103289576793,0.49999999999999994
17,304.24960114283294,0.258819045102521
18,147.11959513678664,1.2246467991473532e-16
19,190.14131591568096,0.0
20,164.46544100190536,0.0
21,124.19520981579502,0.0
22,914.4558242203366,0.0
23,961.5214626586387,0.0
0,898.5669584356019,0.0
1,962.5857462325603,0.0
2,795.2101958364102,0.0
3,932.8761001750089,0.0
4,903.4818827295269,0.0
5,888.0397059813653,0.0
6,178.6704310614201,0.0
7,95.49724341596429,0.25881904510252074
8,166.2131244864995,0.49999999999999994
9,189.28450286046984,0.7071067811865476
10,309.11576178966067,0.8660254037844386
11,229.2691912690541,0.9659258262890683
12,217.6602558842725,1.0
13,229.92971825661854,0.9659258262890683
14,286.61608470808295,0.8660254037844387
15,263.1500443863874,0.7071067811865476
16,228.80959184931845,0.49999999999999994
17,270.53069732453423,0.258819045102521
18,153.8831019739216,1.2246467991473532e-16
19,188.74579962131557,0.0
20,121.9178762449059,0.0
21,136.89351413608927,0.0
22,884.3156738747136,0.0
23,841.4594020747153,0.0
0,911.8448110825831,0.0
1,910.4422108871955,0.0
2,900.2045382656985,0.0
3,890.6165146649942,0.0
4,843.3851703179835,0.0
5,883.1741870893857,0.0
6,161.29141933892922,0.0
7,142.90890923113523,0.25881904510252074
8,168.54857153335962,0.49999999999999994
9,191.16203427258154,0.7071067811865476
10,325.4474360484212,0.8660254037844386
11,256.98311251327357,0.9659258262890683
12,260.30201562891057,1.0
13,247.0221633693533,0.9659258262890683
14,173.24915138803834,0.8660254037844387
15,248.93944498203132,0.7071067811865476
16,252.40920839764107,0.49999999999999994
17,348.5296844994115,0.258819045102521
18,142.3055614087551,1.2246467991473532e-16
19,162.0618936933445,0.0
20,148.61152921179027,0.0
21,103.25287849521871,0.0
22,945.7129125806008,0.0
23,930.0773213074709,0.0
0,931.6412778817219,0.0
1,863.6245018082104,0.0
2,956.111772437444,0.0
3,843.9259574883088,0.0
4,923.4742837520108,0.0
5,987.6182250323991,0.0
6,135.37854699477248,0.0
7,152.34809081588912,0.25881904510252074
8,178.98605460350564,0.49999999999999994
9,154.86097383535204,0.7071067811865476
10,187.9734627573547,0.8660254037844386
11,252.7425189922411,0.9659258262890683
12,207.5078514509558,1.0
13,268.9436972254073,0.9659258262890683
14,213.22303063064788,0.8660254037844387
15,311.9973762007016,0.7071067811865476
16,218.6698683065505,0.49999999999999994
17,237.11753935177296,0.258819045102521
18,182.54068869478678,1.2246467991473532e-16
19,100.7654273426418,0.0
20,159.09839738416517,0.0
21,202.28571017129713,0.0
22,835.7006706175509,0.0
23,907.3853543412922,0.0
0,910.3953117699369,0.0
1,931.2729148710924,0.0
2,850.5219715648767,0.0
3,847.181735476629,0.0
4,920.8776626246758,0.0
5,911.8793869293274,0.0
6,185.01971401383506,0.0
7,188.857928379879,0.25881904510252074
8,147.79901113686037,0.49999999999999994
9,184.29014788644014,0.7071067811865476
10,261.72289893194727,0.8660254037844386
11,221.42594327894528,0.9659258262890683
12,324.63098044579027,1.0
13,268.9533168364715,0.9659258262890683
14,202.34786011189405,0.8660254037844387
15,276.2621443453532,0.7071067811865476
16,211.01273319090714,0.49999999999999994
17,281.48338414969805,0.258819045102521
18,196.34382316029615,1.2246467991473532e-16
19,117.17270726593158,0.0
20,188.53504516977287,0.0
21,166.51123707745992,0.0
22,932.8824063997796,0.0
23,975.871719306158,0.0
0,890.1844753598851,0.0
1,869.8505534257005,0.0
2,864.419422814979,0.0
3,867.3675886013825,0.0
4,896.9159316234359,0.0
5,913.6460789926657,0.0
6,186.06763197320078,0.0
7,208.08732996144096,0.25881904510252074
8,175.5200756751163,0.49999999999999994
9,233.14136308629267,0.7071067811865476
10,239.41372667048176,0.8660254037844386
11,358.80676666358477,0.9659258262890683
12,275.0266939106003,1.0
13,215.7136977433487,0.9659258262890683
14,207.1643000775555,0.8660254037844387
15,269.2988966097274,0.7071067811865476
16,241.06148858696596,0.49999999999999994
17,278.56001976368367,0.258819045102521
18,168.9295049829418,1.2246467991473532e-16
19,147.0868434937251,0.0
20,116.1282512772638,0.0
21,89.40611101256542,0.0
22,882.1394019173191,0.0
23,934.2559517729389,0.0
0,908.5637497652082,0.0
1,850.1704488515205,0.0
2,906.9272370340473,0.0
3,915.4126951891535,0.0
4,864.6457025519546,0.0
5,906.1490042378211,0.0
6,177.32834873784,0.0
7,129.28118808677507,0.25881904510252074
8,189.31149441393134,0.49999999999999994
9,197.43138105472937,0.7071067811865476
10,293.32204972701106,0.8660254037844386
11,292.1520820813961,0.9659258262890683
12,194.89322528171635,1.0
