b1_global_solution_id,b1_source_run,b1_source_solution_id,b1_peak_kw,b1_lcoe_D2_usd_kwh,dominated_by_h2_D2,h2_dominator_id,h2_peak_kw,h2_lcoe_D2_usd_kwh
0,seed42,0,410.4523135750388,0.25484325681164616,True,39,406.2318256052895,0.2288022602581218
1,seed42,1,410.89810198526726,0.2548830133780606,True,39,406.2318256052895,0.2288022602581218
2,seed42,2,411.3515545949132,0.2549239065991087,True,39,406.2318256052895,0.2288022602581218
3,seed42,3,415.8640348984492,0.2549222532349637,True,39,406.2318256052895,0.2288022602581218
4,seed42,4,417.2476001141025,0.2527997069697103,True,42,413.2444705279062,0.2271499584241044
5,seed42,5,417.7717201674743,0.2537596879496516,True,43,415.525792989215,0.2268849777269735
6,seed42,6,425.24760011410217,0.2530309072498011,True,43,415.525792989215,0.2268849777269735
7,seed42,7,425.2476001141032,0.25228905157268877,True,45,416.708559535566,0.22646500750986148
8,seed42,8,427.2476001141026,0.25248178177593816,True,45,416.708559535566,0.22646500750986148
9,seed42,9,428.2476001141022,0.25220391424828725,True,45,416.708559535566,0.22646500750986148
10,seed42,10,428.3578345096222,0.25320034725832885,True,45,416.708559535566,0.22646500750986148
11,seed42,11,430.2476001141024,0.2521843525003132,True,45,416.708559535566,0.22646500750986148
12,seed42,12,436.2476001141032,0.252160738530535,True,51,431.2476001141024,0.2218661367436136
13,seed42,13,439.24760011410217,0.2524153595227632,True,53,436.8806710097879,0.22152397850957245
14,seed42,14,439.2476001141031,0.25226481674200707,True,53,436.8806710097879,0.22152397850957245
15,seed42,15,440.24760011410217,0.2521901660910566,True,53,436.8806710097879,0.22152397850957245
16,seed42,16,442.2476001141025,0.2512897928244707,True,53,436.8806710097879,0.22152397850957245
17,seed43,0,443.24760011410217,0.25170220156437706,True,53,436.8806710097879,0.22152397850957245
18,seed43,1,443.2476001141024,0.25072795526841785,True,53,436.8806710097879,0.22152397850957245
19,seed43,2,443.4132164387021,0.25161876793465393,True,53,436.8806710097879,0.22152397850957245
20,seed43,3,443.888325495238,0.2516289123444349,True,53,436.8806710097879,0.22152397850957245
21,seed43,4,444.4525024531778,0.2516417186344475,True,53,436.8806710097879,0.22152397850957245
22,seed43,5,445.0569792098141,0.2516630115677646,True,53,436.8806710097879,0.22152397850957245
23,seed42,17,445.2476001141024,0.2494945940591832,True,53,436.8806710097879,0.22152397850957245
24,seed43,8,447.9349765967564,0.24887259319314592,True,55,442.35360330039424,0.22004079310072827
25,seed43,9,448.24760011410257,0.24879435548791373,True,55,442.35360330039424,0.22004079310072827
26,seed43,10,448.6937270185009,0.2473200634827911,True,55,442.35360330039424,0.22004079310072827
27,seed43,11,449.2476001141023,0.24712638304885326,True,55,442.35360330039424,0.22004079310072827
28,seed43,12,451.6051142380329,0.24653253002486014,True,55,442.35360330039424,0.22004079310072827
29,seed43,13,457.263901370698,0.24661641723075237,True,55,442.35360330039424,0.22004079310072827
30,seed43,14,457.8096680508502,0.23920342516649437,True,57,457.2476001141024,0.21567283800802353
31,seed43,15,461.13987986295103,0.23830767127229002,True,58,459.2476001141024,0.2159169249154324
32,seed42,23,462.5668151816717,0.2372800885903788,True,58,459.2476001141024,0.2159169249154324
33,seed43,16,468.2476001141024,0.2137979412461159,True,60,466.2476001141024,0.2132173169676606
