thermal_case,source_run,source_solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,P_peak_grid_opt_kw,base_lcoe_usd_kwh,recomputed_lcoe_usd_kwh,lcoe_audit_error,chp_electric_energy_kwh,chp_capacity_factor,heat_available_kwh_th,thermal_demand_kwh_th,heat_useful_kwh_th,heat_dumped_kwh_th,heat_utilization_ratio,thermal_demand_coverage_ratio,heat_credit_usd_per_year,adjusted_lcoe_usd_kwh,lcoe_reduction_usd_kwh,lcoe_reduction_percent,dominated_by_h2,n_h2_dominators,solver_status,solve_time_sec
TMAX,seed42,0,303.0,50.0,369.0,63.0,410.4523135750388,0.1896951589458584,0.1896951589458584,5.551115123125783e-17,90801.8228367426,0.1645318236514144,106132.00071827056,0.0,106132.00071827056,0.0,1.0,0.0,8490.560057461646,0.1859516842917949,0.0037434746540634944,1.9734160190835095,True,34,OPTIMAL,7.199999999999998
TMAX,seed42,1,301.0,49.0,368.0,63.0,410.89810198526726,0.1896638543215509,0.1896638543215509,8.326672684688674e-17,90386.81211958527,0.1637798291650092,105646.9232566581,0.0,105646.9232566581,0.0,1.0,0.0,8451.753860532648,0.1859374892590386,0.0037263650625122824,1.9647207296518951,True,34,OPTIMAL,6.579000000000008
TMAX,seed42,2,299.0,48.0,367.0,63.0,411.3515545949132,0.1896327739858213,0.1896327739858213,2.775557561562892e-17,89968.58257061415,0.1630220021936184,105158.08352409446,0.0,105158.08352409446,0.0,1.0,0.0,8412.646681927557,0.18592365121721063,0.0037091227686106565,1.955950277291195,True,34,OPTIMAL,6.883999999999997
TMAX,seed42,3,290.0,55.0,350.0,62.0,415.8640348984492,0.1889148842379263,0.1889148842379263,0.0,84115.22822551776,0.1548741129502094,98316.50052333243,0.0,98316.50052333243,0.0,1.0,0.0,7865.320041866595,0.1854470769291552,0.0034678073087710815,1.835645361010093,True,36,OPTIMAL,6.849000000000005
TMAX,seed42,4,268.0,69.0,382.0,51.0,417.2476001141025,0.1880357124302613,0.1880357124302613,8.326672684688674e-17,79476.43135268515,0.1778951368803947,92894.53015248914,0.0,92894.53015248914,0.0,1.0,0.0,7431.562412199131,0.1847591481822162,0.003276564248045094,1.7425223143504227,True,37,OPTIMAL,6.886000000000003
TMAX,seed42,5,268.0,69.0,345.0,51.0,417.7717201674743,0.1874495245897559,0.1874495245897559,5.551115123125783e-17,70053.97784384288,0.1568044987103654,81881.27280449167,0.0,81881.27280449167,0.0,1.0,0.0,6550.501824359334,0.184561418577322,0.0028881060124338886,1.540737976665812,True,38,OPTIMAL,6.797999999999999
TMAX,seed42,6,257.0,63.0,330.0,43.0,425.24760011410217,0.1869900375412441,0.1869900375412441,2.775557561562892e-17,62763.7586317611,0.166623549516197,73360.2373617987,0.0,73360.2373617987,0.0,1.0,0.0,5868.818988943896,0.18440248442511123,0.0025875531161328735,1.383791965688087,True,41,OPTIMAL,6.683000000000001
TMAX,seed42,7,248.0,77.0,310.0,43.0,425.2476001141032,0.1862552695362151,0.1862552695362151,0.0,62279.10945651827,0.1653369158344437,72793.76429982655,0.0,72793.76429982655,0.0,1.0,0.0,5823.501143986125,0.18368769698706816,0.0025675725491469403,1.378523440190618,True,39,OPTIMAL,6.745000000000003
TMAX,seed42,8,227.0,79.0,354.0,41.0,427.2476001141026,0.1861305528652083,0.1861305528652083,5.551115123125783e-17,58277.36500329402,0.1622601765321695,68116.4006532008,0.0,68116.4006532008,0.0,1.0,0.0,5449.312052256065,0.18372795970154815,0.0024025931636601494,1.2908107383101446,True,40,OPTIMAL,6.839000000000005
TMAX,seed42,9,231.0,69.0,264.0,40.0,428.2476001141022,0.1856939619004292,0.1856939619004292,2.775557561562892e-17,56661.16897711744,0.1617042493639196,66227.34036286456,0.0,66227.34036286456,0.0,1.0,0.0,5298.187229029165,0.1833579994350411,0.002335962465388086,1.2579636093071518,True,39,OPTIMAL,6.729000000000002
