thermal_case,source_run,source_solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,P_peak_grid_opt_kw,lcoe_T0_original_usd_kwh,recovery_fraction,thermal_demand_kwh_th,estimated_chp_el_energy_kwh,heat_generated_kwh_th,heat_recoverable_kwh_th,heat_useful_kwh_th,heat_utilization_ratio,heat_credit_usd_per_year,adjusted_annual_cost_usd,adjusted_lcoe_usd_kwh,lcoe_reduction_usd_kwh,lcoe_reduction_percent,dominated_by_h2,n_h2_dominators
T0,seed42,0,303.0,50.0,369.0,63.0,410.4523135750388,0.1896951589458584,0.0,0.0,137970.0,177390.0,0.0,0.0,0.0,0.0,430246.8397619133,0.18969515894585845,-5.551115123125783e-17,-2.926334627606468e-14,True,38
T1,seed42,0,303.0,50.0,369.0,63.0,410.4523135750388,0.1896951589458584,0.5,200000.0,137970.0,177390.0,88695.0,88695.0,0.5,7095.6,423151.2397619133,0.18656672000006383,0.003128438945794565,1.6491928224101198,True,34
T2,seed42,0,303.0,50.0,369.0,63.0,410.4523135750388,0.1896951589458584,0.8,400000.0,137970.0,177390.0,141912.0,141912.0,0.8,11352.960000000001,418893.87976191327,0.18468965663258702,0.005005502313271376,2.6387085158562296,True,33
T0,seed42,1,301.0,49.0,368.0,63.0,410.89810198526726,0.1896638543215509,0.0,0.0,137970.0,177390.0,0.0,0.0,0.0,0.0,430175.8378673312,0.18966385432155103,-1.3877787807814457e-16,-7.317044071184189e-14,True,38
T1,seed42,1,301.0,49.0,368.0,63.0,410.89810198526726,0.1896638543215509,0.5,200000.0,137970.0,177390.0,88695.0,88695.0,0.5,7095.6,423080.23786733125,0.1865354153757564,0.0031284389457944817,1.6494650269474183,True,34
T2,seed42,1,301.0,49.0,368.0,63.0,410.89810198526726,0.1896638543215509,0.8,400000.0,137970.0,177390.0,141912.0,141912.0,0.8,11352.960000000001,418822.8778673312,0.1846583520082796,0.005005502313271293,2.6391440431159334,True,33
T0,seed42,2,299.0,48.0,367.0,63.0,411.3515545949132,0.1896327739858213,0.0,0.0,137970.0,177390.0,0.0,0.0,0.0,0.0,430105.3446807852,0.18963277398582132,-2.7755575615628914e-17,-1.463648663268733e-14,True,38
T1,seed42,2,299.0,48.0,367.0,63.0,411.3515545949132,0.1896327739858213,0.5,200000.0,137970.0,177390.0,88695.0,88695.0,0.5,7095.6,423009.7446807852,0.1865043350400267,0.0031284389457945927,1.649735370125685,True,34
T2,seed42,2,299.0,48.0,367.0,63.0,411.3515545949132,0.1896327739858213,0.8,400000.0,137970.0,177390.0,141912.0,141912.0,0.8,11352.960000000001,418752.3846807852,0.1846272716725499,0.005005502313271404,2.6395765922011254,True,33
T0,seed42,3,290.0,55.0,350.0,62.0,415.8640348984492,0.1889148842379263,0.0,0.0,135780.0,174574.28571428574,0.0,0.0,0.0,0.0,428477.10178283404,0.1889148842379263,0.0,0.0,True,39
T1,seed42,3,290.0,55.0,350.0,62.0,415.8640348984492,0.1889148842379263,0.5,200000.0,135780.0,174574.28571428574,87287.14285714287,87287.14285714287,0.5,6982.97142857143,421494.1303542626,0.18583610305317602,0.0030787811847502733,1.6297186943050732,True,36
T2,seed42,3,290.0,55.0,350.0,62.0,415.8640348984492,0.1889148842379263,0.8,400000.0,135780.0,174574.28571428574,139659.4285714286,139659.4285714286,0.8000000000000002,11172.754285714289,417304.34749711974,0.18398883434232585,0.004926049895600443,2.6075499108881206,True,34
T0,seed42,4,268.0,69.0,382.0,51.0,417.2476001141025,0.1880357124302613,0.0,0.0,111690.0,143601.42857142858,0.0,0.0,0.0,0.0,426483.0556829884,0.18803571243026138,-8.326672684688674e-17,-4.4282400279557915e-14,True,40
T1,seed42,4,268.0,69.0,382.0,51.0,417.2476001141025,0.1880357124302613,0.5,200000.0,111690.0,143601.42857142858,71800.71428571429,71800.71428571429,0.5,5744.057142857143,420738.9985401312,0.18550316661699906,0.0025325458132622325,1.3468429909033919,True,38
T2,seed42,4,268.0,69.0,382.0,51.0,417.2476001141025,0.1880357124302613,0.8,400000.0,111690.0,143601.42857142858,114881.14285714287,114881.14285714287,0.8,9190.49142857143,417292.56425441697,0.18398363912904167,0.004052073301219622,2.1549487854454537,True,36
T0,seed42,5,268.0,69.0,345.0,51.0,417.7717201674743,0.1874495245897559,0.0,0.0,111690.0,143601.42857142858,0.0,0.0,0.0,0.0,425153.5253603073,0.18744952458975594,-5.551115123125783e-17,-2.961391945524919e-14,True,40
T1,seed42,5,268.0,69.0,345.0,51.0,417.7717201674743,0.1874495245897559,0.5,200000.0,111690.0,143601.42857142858,71800.71428571429,71800.71428571429,0.5,5744.057142857143,419409.46821745014,0.18491697877649363,0.0025325458132622602,1.3510548073167339,True,39
T2,seed42,5,268.0,69.0,345.0,51.0,417.7717201674743,0.1874495245897559,0.8,400000.0,111690.0,143601.42857142858,114881.14285714287,114881.14285714287,0.8,9190.49142857143,415963.0339317359,0.18339745128853624,0.00405207330121965,2.161687691706792,True,36
T0,seed42,6,257.0,63.0,330.0,43.0,425.24760011410217,0.1869900375412441,0.0,0.0,94170.0,121075.71428571429,0.0,0.0,0.0,0.0,424111.3646028461,0.18699003754124413,-2.7755575615628914e-17,-1.484334458701144e-14,True,42
T1,seed42,6,257.0,63.0,330.0,43.0,425.24760011410217,0.1869900375412441,0.5,200000.0,94170.0,121075.71428571429,60537.857142857145,60537.857142857145,0.5,4843.028571428572,419268.33603141754,0.18485475381633668,0.0021352837249074275,1.1419237906920316,True,41
T2,seed42,6,257.0,63.0,330.0,43.0,425.24760011410217,0.1869900375412441,0.8,400000.0,94170.0,121075.71428571429,96860.57142857143,96860.57142857143,0.8,7748.845714285715,416362.51888856036,0.1835735835813922,0.003416453959851906,1.8270780651072622,True,39
T0,seed42,7,248.0,77.0,310.0,43.0,425.2476001141032,0.1862552695362151,0.0,0.0,94170.0,121075.71428571429,0.0,0.0,0.0,0.0,422444.8401966426,0.18625526953621507,2.7755575615628914e-17,1.4901900861512095e-14,True,42
T1,seed42,7,248.0,77.0,310.0,43.0,425.2476001141032,0.1862552695362151,0.5,200000.0,94170.0,121075.71428571429,60537.857142857145,60537.857142857145,0.5,4843.028571428572,417601.81162521406,0.18411998581130762,0.002135283724907483,1.1464286246635844,True,40
T2,seed42,7,248.0,77.0,310.0,43.0,425.2476001141032,0.1862552695362151,0.8,400000.0,94170.0,121075.71428571429,96860.57142857143,96860.57142857143,0.8,7748.845714285715,414695.9944823569,0.18283881557636314,0.0034164539598519617,1.8342857994617292,True,38
T0,seed42,8,227.0,79.0,354.0,41.0,427.2476001141026,0.1861305528652083,0.0,0.0,89790.0,115444.28571428572,0.0,0.0,0.0,0.0,422161.97080838593,0.18613055286520835,-5.551115123125783e-17,-2.9823771743405177e-14,True,42
T1,seed42,8,227.0,79.0,354.0,41.0,427.2476001141026,0.1861305528652083,0.5,200000.0,89790.0,115444.28571428572,57722.14285714286,57722.14285714286,0.5,4617.771428571429,417544.1993798145,0.18409458466238962,0.0020359682028186776,1.0938387983476745,True,40
T2,seed42,8,227.0,79.0,354.0,41.0,427.2476001141026,0.1861305528652083,0.8,400000.0,89790.0,115444.28571428572,92355.42857142858,92355.42857142858,0.8,7388.4342857142865,414773.53652267164,0.18287300374069837,0.0032575491245099286,1.7501420773563032,True,38
T0,seed42,9,231.0,69.0,264.0,40.0,428.2476001141022,0.1856939619004292,0.0,0.0,87600.0,112628.57142857143,0.0,0.0,0.0,0.0,421171.740567885,0.18569396190042922,-2.7755575615628914e-17,-1.4946945679640197e-14,True,42
T1,seed42,9,231.0,69.0,264.0,40.0,428.2476001141022,0.1856939619004292,0.5,200000.0,87600.0,112628.57142857143,56314.28571428572,56314.28571428572,0.5,4505.142857142858,416666.59771074215,0.18370765145865486,0.0019863104417743305,1.0696688365340647,True,40
T2,seed42,9,231.0,69.0,264.0,40.0,428.2476001141022,0.1856939619004292,0.8,400000.0,87600.0,112628.57142857143,90102.85714285716,90102.85714285716,0.8000000000000002,7208.228571428573,413963.5119964564,0.18251586519359023,0.0031780967068389676,1.7114701384545246,True,37
T0,seed42,10,245.0,105.0,346.0,41.0,428.3578345096222,0.185306319655312,0.0,0.0,89790.0,115444.28571428572,0.0,0.0,0.0,0.0,420292.53072485747,0.18530631965531205,-5.551115123125783e-17,-2.9956426383360285e-14,True,42
