thermal_case,source_run,source_solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,P_peak_grid_opt_kw,base_lcoe_usd_kwh,recomputed_lcoe_usd_kwh,lcoe_audit_error,chp_electric_energy_kwh,chp_capacity_factor,heat_available_kwh_th,thermal_demand_kwh_th,heat_useful_kwh_th,heat_dumped_kwh_th,heat_utilization_ratio,thermal_demand_coverage_ratio,heat_credit_usd_per_year,adjusted_lcoe_usd_kwh,lcoe_reduction_usd_kwh,lcoe_reduction_percent,dominated_by_h2,n_h2_dominators,solver_status,solve_time_sec
T0,seed42,0,303.0,50.0,369.0,63.0,410.4523135750388,0.1896951589458584,0.18969515894585845,5.551115123125783e-17,90801.8228367426,0.16453182365141444,106132.00071827057,0.0,0.0,106132.00071827057,0.0,0.0,0.0,0.1896951589458584,0.0,0.0,True,38,OPTIMAL,7.199999999999998
T1,seed42,0,303.0,50.0,369.0,63.0,410.4523135750388,0.1896951589458584,0.18969515894585845,5.551115123125783e-17,90801.8228367426,0.16453182365141444,106132.00071827057,200000.0,52679.576505320045,53452.42421295053,0.4963590260128892,0.26339788252660024,4214.366120425604,0.1878370515126636,0.0018581074331947833,0.9795228531504659,True,35,OPTIMAL,7.199999999999998
T2,seed42,0,303.0,50.0,369.0,63.0,410.4523135750388,0.1896951589458584,0.18969515894585845,5.551115123125783e-17,90801.8228367426,0.16453182365141444,106132.00071827057,400000.0,86120.13827141048,20011.86244686009,0.8114436521367202,0.2153003456785262,6889.611061712839,0.18665754020088404,0.003037618744974352,1.6013159017101382,True,34,OPTIMAL,7.199999999999998
T0,seed42,1,301.0,49.0,368.0,63.0,410.89810198526726,0.1896638543215509,0.18966385432155097,8.326672684688674e-17,90386.81211958529,0.16377982916500922,105646.9232566581,0.0,0.0,105646.9232566581,0.0,0.0,0.0,0.1896638543215509,0.0,0.0,True,38,OPTIMAL,6.579000000000008
T1,seed42,1,301.0,49.0,368.0,63.0,410.89810198526726,0.1896638543215509,0.18966385432155097,8.326672684688674e-17,90386.81211958529,0.16377982916500922,105646.9232566581,200000.0,52465.78712712622,53181.13612953189,0.49661443523221305,0.2623289356356311,4197.262970170098,0.18781328764056243,0.001850566680988458,0.9757086755450293,True,35,OPTIMAL,6.579000000000008
T2,seed42,1,301.0,49.0,368.0,63.0,410.89810198526726,0.1896638543215509,0.18966385432155097,8.326672684688674e-17,90386.81211958529,0.16377982916500922,105646.9232566581,400000.0,85798.44215844918,19848.481098208948,0.8121243810386307,0.21449610539612296,6863.875372675934,0.1866375824016343,0.0030262719199165844,1.5955976064822168,True,34,OPTIMAL,6.579000000000008
T0,seed42,2,299.0,48.0,367.0,63.0,411.3515545949132,0.1896327739858213,0.18963277398582132,2.7755575615628914e-17,89968.58257061415,0.16302200219361845,105158.08352409446,0.0,-1.9494483534657577e-13,105158.08352409446,-1.853826437431306e-18,0.0,-1.5595586827726063e-14,0.1896327739858213,0.0,0.0,True,38,OPTIMAL,6.883999999999997
T1,seed42,2,299.0,48.0,367.0,63.0,411.3515545949132,0.1896327739858213,0.18963277398582132,2.7755575615628914e-17,89968.58257061415,0.16302200219361845,105158.08352409446,200000.0,52499.89384170581,52658.18968238864,0.4992473434500802,0.26249946920852907,4199.991507336465,0.18778100429706232,0.0018517696887589696,0.9765029798580204,True,35,OPTIMAL,6.883999999999997
T2,seed42,2,299.0,48.0,367.0,63.0,411.3515545949132,0.1896327739858213,0.18963277398582132,2.7755575615628914e-17,89968.58257061415,0.16302200219361845,105158.08352409446,400000.0,85687.052611336,19471.030912758455,0.8148403787874553,0.21421763152834,6854.96420890688,0.1866104309840776,0.003022343001743699,1.5937872648372888,True,34,OPTIMAL,6.883999999999997
T0,seed42,3,290.0,55.0,350.0,62.0,415.8640348984492,0.1889148842379263,0.1889148842379263,0.0,84115.22822551776,0.15487411295020945,98316.50052333245,0.0,0.0,98316.50052333245,0.0,0.0,0.0,0.1889148842379263,0.0,0.0,True,39,OPTIMAL,6.849000000000005
