route,global_solution_id,source_run,source_solution_id,month,monthly_peak_grid_kw,demand_charge_usd_kw_month,monthly_demand_charge_usd
H2,0,warm_start_20260831_030140,0,1,346.36750420102567,30.0,10391.02512603077
H2,0,warm_start_20260831_030140,0,2,346.3675042010256,30.0,10391.025126030769
H2,0,warm_start_20260831_030140,0,3,346.36750420102544,30.0,10391.025126030763
H2,0,warm_start_20260831_030140,0,4,346.36750420102544,30.0,10391.025126030763
H2,0,warm_start_20260831_030140,0,5,346.36750420102544,30.0,10391.025126030763
H2,0,warm_start_20260831_030140,0,6,346.3675042010257,30.0,10391.025126030772
H2,0,warm_start_20260831_030140,0,7,346.36750420102544,30.0,10391.025126030763
H2,0,warm_start_20260831_030140,0,8,346.3675042010257,30.0,10391.025126030772
H2,0,warm_start_20260831_030140,0,9,346.36750420102544,30.0,10391.025126030763
H2,0,warm_start_20260831_030140,0,10,346.36750420102544,30.0,10391.025126030763
H2,0,warm_start_20260831_030140,0,11,346.3675042010255,30.0,10391.025126030765
H2,0,warm_start_20260831_030140,0,12,351.2476001141024,30.0,10537.428003423072
H2,1,warm_start_20260831_030140,1,1,350.0541521641654,30.0,10501.624564924961
H2,1,warm_start_20260831_030140,1,2,350.0541521641653,30.0,10501.62456492496
H2,1,warm_start_20260831_030140,1,3,350.0541521641653,30.0,10501.62456492496
H2,1,warm_start_20260831_030140,1,4,350.0541521641653,30.0,10501.62456492496
H2,1,warm_start_20260831_030140,1,5,350.05415216416543,30.0,10501.624564924963
H2,1,warm_start_20260831_030140,1,6,350.0541521641653,30.0,10501.62456492496
H2,1,warm_start_20260831_030140,1,7,350.0541521641653,30.0,10501.62456492496
H2,1,warm_start_20260831_030140,1,8,350.0541521641656,30.0,10501.624564924969
H2,1,warm_start_20260831_030140,1,9,350.0541521641653,30.0,10501.62456492496
H2,1,warm_start_20260831_030140,1,10,350.0541521641653,30.0,10501.62456492496
H2,1,warm_start_20260831_030140,1,11,350.0541521641653,30.0,10501.62456492496
H2,1,warm_start_20260831_030140,1,12,352.2476001141024,30.0,10567.428003423072
H2,2,warm_start_20260831_030140,2,1,350.6382809993768,30.0,10519.148429981304
H2,2,warm_start_20260831_030140,2,2,350.63828099937666,30.0,10519.1484299813
H2,2,warm_start_20260831_030140,2,3,350.63828099937655,30.0,10519.148429981296
H2,2,warm_start_20260831_030140,2,4,350.63828099937655,30.0,10519.148429981296
H2,2,warm_start_20260831_030140,2,5,350.63828099937655,30.0,10519.148429981296
H2,2,warm_start_20260831_030140,2,6,350.63828099937666,30.0,10519.1484299813
H2,2,warm_start_20260831_030140,2,7,350.63828099937655,30.0,10519.148429981296
H2,2,warm_start_20260831_030140,2,8,350.63828099937655,30.0,10519.148429981296
H2,2,warm_start_20260831_030140,2,9,350.63828099937655,30.0,10519.148429981296
H2,2,warm_start_20260831_030140,2,10,350.63828099937655,30.0,10519.148429981296
H2,2,warm_start_20260831_030140,2,11,350.6382809993766,30.0,10519.148429981298
H2,2,warm_start_20260831_030140,2,12,353.2476001141024,30.0,10597.428003423072
H2,3,warm_start_20260831_030140,3,1,349.65609855402465,30.0,10489.68295662074
H2,3,warm_start_20260831_030140,3,2,349.65609855402454,30.0,10489.682956620736
H2,3,warm_start_20260831_030140,3,3,349.65609855402454,30.0,10489.682956620736
H2,3,warm_start_20260831_030140,3,4,349.65609855402454,30.0,10489.682956620736
H2,3,warm_start_20260831_030140,3,5,349.65609855402454,30.0,10489.682956620736
H2,3,warm_start_20260831_030140,3,6,349.65609855402465,30.0,10489.68295662074
H2,3,warm_start_20260831_030140,3,7,349.65609855402465,30.0,10489.68295662074
H2,3,warm_start_20260831_030140,3,8,349.6560985540246,30.0,10489.682956620738
H2,3,warm_start_20260831_030140,3,9,349.65609855402454,30.0,10489.682956620736
H2,3,warm_start_20260831_030140,3,10,349.65609855402454,30.0,10489.682956620736
H2,3,warm_start_20260831_030140,3,11,349.65609855402454,30.0,10489.682956620736
H2,3,warm_start_20260831_030140,3,12,354.2476001141024,30.0,10627.428003423072
H2,4,warm_start_20260831_030140,4,1,349.50985038132694,30.0,10485.295511439808
H2,4,warm_start_20260831_030140,4,2,349.50985038132694,30.0,10485.295511439808
H2,4,warm_start_20260831_030140,4,3,349.50985038132694,30.0,10485.295511439808
H2,4,warm_start_20260831_030140,4,4,349.50985038132694,30.0,10485.295511439808
H2,4,warm_start_20260831_030140,4,5,349.50985038132694,30.0,10485.295511439808
H2,4,warm_start_20260831_030140,4,6,349.50985038132694,30.0,10485.295511439808
H2,4,warm_start_20260831_030140,4,7,349.50985038132694,30.0,10485.295511439808
H2,4,warm_start_20260831_030140,4,8,349.50985038132694,30.0,10485.295511439808
H2,4,warm_start_20260831_030140,4,9,349.50985038132694,30.0,10485.295511439808
H2,4,warm_start_20260831_030140,4,10,349.50985038132694,30.0,10485.295511439808
H2,4,warm_start_20260831_030140,4,11,349.5668151816717,30.0,10487.004455450151
H2,4,warm_start_20260831_030140,4,12,355.2476001141024,30.0,10657.428003423072
H2,5,warm_start_20260831_030140,5,1,355.3151603765601,30.0,10659.454811296802
H2,5,warm_start_20260831_030140,5,2,355.3151603765601,30.0,10659.454811296802
