route,global_solution_id,source_run,source_solution_id,status,stored_peak_kw,replay_peak_kw,delta_peak_kw,stored_lcoe_usd_kwh,replay_lcoe_usd_kwh,delta_lcoe_usd_kwh,replay_valid,solve_time_sec
H2,0,warm_start_20260831_030140,0,OPTIMAL,351.2476001141024,351.2476001141024,0.0,0.1940992206737364,0.19409922067373647,8.326672684688674e-17,True,10.834999999999987
H2,1,warm_start_20260831_030140,1,OPTIMAL,352.2476001141024,352.2476001141024,0.0,0.1921594783204994,0.19215947832049945,5.551115123125783e-17,True,10.436999999999998
H2,2,warm_start_20260831_030140,2,OPTIMAL,353.2476001141024,353.2476001141024,0.0,0.1911546434692603,0.19115464346926037,5.551115123125783e-17,True,12.471999999999987
H2,3,warm_start_20260831_030140,3,OPTIMAL,354.2476001141024,354.2476001141024,0.0,0.1906083361450367,0.19060833614503675,5.551115123125783e-17,True,11.183999999999987
H2,4,warm_start_20260831_030140,4,OPTIMAL,355.2476001141024,355.2476001141024,0.0,0.1891082855113361,0.1891082855113361,0.0,True,9.415999999999991
H2,5,warm_start_20260831_030140,5,OPTIMAL,356.2522600419826,356.2522600419826,0.0,0.188107704181706,0.18810770418170608,8.326672684688674e-17,True,10.397999999999998
H2,6,warm_start_20260831_030140,6,OPTIMAL,358.2476001141024,358.2476001141024,0.0,0.1878668687133955,0.18786686871339559,8.326672684688674e-17,True,11.843999999999982
H2,7,warm_start_20260831_030140,7,OPTIMAL,358.6139342315874,358.6139342315874,0.0,0.187070762844149,0.18707076284414903,2.7755575615628914e-17,True,12.055999999999976
H2,8,warm_start_20260831_030140,8,OPTIMAL,361.2476001141024,361.2476001141024,0.0,0.1848962386193645,0.1848962386193645,0.0,True,11.63299999999998
H2,9,warm_start_20260831_030140,9,OPTIMAL,362.052265304304,362.05226530430394,-5.684341886080802e-14,0.1842810581894472,0.1842810581894472,0.0,True,11.772999999999973
H2,10,warm_start_20260831_030140,10,OPTIMAL,364.2476001141024,364.2476001141024,0.0,0.183699646115363,0.18369964611536305,5.551115123125783e-17,True,11.956999999999992
H2,11,warm_start_20260831_030140,11,OPTIMAL,366.69099209102114,366.69099209102114,0.0,0.1830445120640078,0.18304451206400787,8.326672684688674e-17,True,11.642999999999981
H2,12,warm_start_20260831_030140,12,OPTIMAL,369.21438560785737,369.21438560785737,0.0,0.1828125580574107,0.1828125580574107,0.0,True,11.769999999999989
H2,13,warm_start_20260831_030140,13,OPTIMAL,369.8845469503185,369.8845469503185,0.0,0.1819240803207736,0.1819240803207736,0.0,True,12.037999999999991
H2,14,warm_start_20260831_030140,14,OPTIMAL,371.2476001141024,371.2476001141024,0.0,0.1814814678485158,0.18148146784851588,8.326672684688674e-17,True,11.961999999999987
H2,15,warm_start_20260831_030140,15,OPTIMAL,374.2476001141024,374.2476001141024,0.0,0.1811360334533573,0.18113603345335733,2.7755575615628914e-17,True,11.90299999999998
H2,16,warm_start_20260831_030140,16,OPTIMAL,375.2476001141024,375.2476001141024,0.0,0.1801858679452257,0.18018586794522573,2.7755575615628914e-17,True,9.544999999999991
