b1_source_run,b1_source_solution_id,h2_global_solution_id,h2_source_run,h2_source_solution_id,b1_lcoe_usd_kwh,h2_lcoe_usd_kwh,delta_lcoe_b1_minus_h2,b1_peak_kw,h2_peak_kw,delta_peak_b1_minus_h2_kw,b1_capex_total_usd,h2_capex_total_usd,delta_capex_total_b1_minus_h2_usd,b1_annualized_capex_usd,h2_annualized_capex_usd,delta_annualized_capex_b1_minus_h2_usd,b1_fixed_opex_usd,h2_fixed_opex_usd,delta_fixed_opex_b1_minus_h2_usd,b1_grid_opex_usd,h2_grid_opex_usd,delta_grid_opex_b1_minus_h2_usd,b1_peak_opex_usd,h2_peak_opex_usd,delta_peak_opex_b1_minus_h2_usd,b1_dispatchable_opex_usd,h2_dispatchable_opex_usd,delta_dispatchable_opex_b1_minus_h2_usd,b1_biomethane_fuel_opex_usd,b1_chp_variable_opex_usd,h2_variable_h2_opex_usd,b1_degradation_opex_usd,h2_degradation_opex_usd,delta_degradation_b1_minus_h2_usd,b1_total_annual_cost_reconstructed_usd,h2_total_annual_cost_reconstructed_usd,delta_total_annual_cost_b1_minus_h2_usd,h2_total_annual_cost_advantage_percent,b1_E_grid_kwh,h2_E_grid_kwh,delta_E_grid_b1_minus_h2_kwh,b1_grid_dependency_ratio,h2_grid_dependency_ratio,delta_grid_dependency_b1_minus_h2_pp,b1_pv_kw,h2_pv_kw,b1_bsv_kwh,h2_bsv_kwh,b1_chp_kw,b1_biomethane_storage_nm3,h2_fuelcell_kw,h2_electrolyzer_kw,h2_tank_kg,h2_lcoe_reconstructed,h2_lcoe_reconstruction_error,b1_lcoe_reconstructed,b1_lcoe_reconstruction_error
seed42,0,20,warm_start_20260831_030140,20,0.1896951589458584,0.1777144879755587,0.0119806709702997,410.4523135750388,380.2476001141024,30.204713460936375,635858.0,1961640.0,-1325782.0,64763.54179787089,199797.3669158451,-135033.82511797422,3847.78,32082.8,-28235.02,342081.2063717721,161808.9255719445,180272.2807998276,123527.83006396622,2622.191239069519,120905.6388248967,19554.3115922703,9384.434829866905,10169.876762403395,16430.728886686356,3123.5827055839454,9384.434829866905,0.0,0.0,0.0,553774.6698258795,405695.718556726,148078.9512691535,26.73992859148166,1704078.168846638,1066489.2780306388,637588.8908159991,0.7513254002618845,0.4702134551924365,28.111194506944802,303.0,773.0,50.0,1272.0,63.0,369.0,88.0,369.0,94.0,0.17887060799298168,0.0011561200174229902,0.2441583860812118,0.0544632271353534
seed42,1,20,warm_start_20260831_030140,20,0.1896638543215509,0.1777144879755587,0.011949366345992196,410.89810198526726,380.2476001141024,30.650501871164863,633476.0,1961640.0,-1328164.0,64520.92983645414,199797.3669158451,-135276.43707939098,3821.76,32082.8,-28261.04,342368.2096320504,161808.9255719445,180559.2840601059,123624.74591530126,2622.191239069519,121002.55467623174,19464.938398826635,9384.434829866905,10080.50356895973,16355.6320619129,3109.306336913733,9384.434829866905,0.0,0.0,0.0,553800.5837826325,405695.718556726,148104.86522590648,26.74335664551012,1705539.2499422634,1066489.2780306388,639049.9719116245,0.7519695886324972,0.4702134551924365,28.175613344006067,301.0,773.0,49.0,1272.0,63.0,368.0,88.0,369.0,94.0,0.17887060799298168,0.0011561200174229902,0.24416981150422687,0.05450595718267598
seed42,2,20,warm_start_20260831_030140,20,0.1896327739858213,0.1777144879755587,0.011918286010262596,411.3515545949132,380.2476001141024,31.103954480810785,631094.0,1961640.0,-1330546.0,64278.3178750374,199797.3669158451,-135519.0490408077,3795.74,32082.8,-28287.059999999998,342656.4147807249,161808.9255719445,180847.4892087804,123721.66176663636,2622.191239069519,121099.47052756684,19374.87202502288,9384.434829866905,9990.437195155975,16279.952784593755,3094.919240429126,9384.434829866905,0.0,0.0,0.0,553827.0064474215,405695.718556726,148131.2878906955,26.746851664186334,1707008.3436271965,1066489.2780306388,640519.0655965577,0.7526173097412076,0.4702134551924365,28.240385454877103,299.0,773.0,48.0,1272.0,63.0,367.0,88.0,369.0,94.0,0.17887060799298168,0.0011561200174229902,0.24418146121581963,0.05454868722999834
seed42,3,20,warm_start_20260831_030140,20,0.1889148842379263,0.1777144879755587,0.011200396262367601,415.8640348984492,380.2476001141024,35.61643478434678,616720.0,1961640.0,-1344920.0,62814.29422541343,199797.3669158451,-136983.07269043167,3709.0,32082.8,-28373.8,343839.4643538265,161808.9255719445,182030.53878188197,123590.87600727436,2622.191239069519,120968.68476820484,18114.3432035941,9384.434829866905,8729.908373727196,15220.77935263629,2893.5638509578107,9384.434829866905,0.0,0.0,0.0,552067.9777901084,405695.718556726,146372.2592333824,26.51344854655415,1715505.6743248964,1066489.2780306388,649016.3962942576,0.7563637695599658,0.4702134551924365,28.615031436752925,290.0,773.0,55.0,1272.0,62.0,350.0,88.0,369.0,94.0,0.17887060799298168,0.0011561200174229902,0.2434059082311098,0.05449102399318351
seed42,4,20,warm_start_20260831_030140,20,0.1880357124302613,0.1777144879755587,0.010321224454702599,417.2476001141025,380.2476001141024,37.000000000000114,557224.0,1961640.0,-1404416.0,56754.49520927126,199797.3669158451,-143042.87170657385,3602.44,32082.8,-28480.36,349010.749280054,161808.9255719445,187201.8237081095,128256.42888860004,2622.191239069519,125634.23764953052,17115.371193663115,9384.434829866905,7730.936363796211,14381.381955130748,2733.989238532369,9384.434829866905,0.0,0.0,0.0,554739.4845715885,405695.718556726,149043.76601486246,26.86734407051722,1728208.3270535602,1066489.2780306388,661719.0490229214,0.7619643492870158,0.4702134551924365,29.175089409457932,268.0,773.0,69.0,1272.0,51.0,382.0,88.0,369.0,94.0,0.17887060799298168,0.0011561200174229902,0.2445837713940751,0.05654805896381382
seed42,5,22,warm_start_20260831_030140,22,0.1874495245897559,0.1753223458816753,0.012127178708080583,417.7717201674743,384.2476001141024,33.52412005337192,551230.0,1920800.0,-1369570.0,56143.993069585296,195637.72270750764,-139493.72963792234,3542.5,31540.0,-27997.5,350380.80088874407,161424.66168627917,188956.1392024649,128256.65310745794,1308.1815239150842,126948.47158354285,15086.231401977935,9045.534901640083,6040.696500337852,12676.374564149744,2409.856837828195,9045.534901640083,0.0,0.0,0.0,553410.1784677652,398956.10081934195,154454.07764842326,27.909511544594736,1737340.9580901563,1070059.5641302571,667281.3939598992,0.7659909120318803,0.4717875887514979,29.42033232803824,268.0,741.0,69.0,1340.0,51.0,345.0,84.0,360.0,93.0,0.17589912107018438,0.0005767751885090711,0.2439976824113135,0.056548157821557615
seed42,6,22,warm_start_20260831_030140,22,0.1869900375412441,0.1753223458816753,0.011667691659568796,425.24760011410217,384.2476001141024,40.99999999999977,503200.0,1920800.0,-1417600.0,51252.031479809375,195637.72270750764,-144385.69122769826,3381.8,31540.0,-28158.2,355961.2615918569,161424.66168627917,194536.59990557772,133217.92399661042,1308.1815239150842,131909.74247269533,13516.27153117986,9045.534901640083,4470.736629539777,11357.198234247278,2159.073296932582,9045.534901640083,0.0,0.0,0.0,557329.2885994565,398956.10081934195,158373.1877801146,28.416448053196575,1751391.4319615308,1070059.5641302571,681331.8678312737,0.7721857439933885,0.4717875887514979,30.039815524189056,257.0,741.0,63.0,1340.0,43.0,330.0,84.0,360.0,93.0,0.17589912107018438,0.0005767751885090711,0.24572561194071785,0.058735574399473744
seed42,7,22,warm_start_20260831_030140,22,0.1862552695362151,0.1753223458816753,0.010932923654539795,425.2476001141032,384.2476001141024,41.000000000000796,494040.0,1920800.0,-1426760.0,50319.06524698932,195637.72270750764,-145318.65746051833,3321.0,31540.0,-28219.0,355392.8733605029,161424.66168627917,193968.2116742237,131861.20704270503,1308.1815239150842,130553.02551878995,13411.901589150451,9045.534901640083,4366.366687510368,11269.500223846226,2142.4013653042284,9045.534901640083,0.0,0.0,0.0,554306.0472393477,398956.10081934195,155349.94642000576,28.026024105944146,1753933.5228707297,1070059.5641302571,683873.9587404726,0.773306547900611,0.4717875887514979,30.151895914911314,248.0,741.0,77.0,1340.0,43.0,310.0,84.0,360.0,93.0,0.17589912107018438,0.0005767751885090711,0.24439266955198377,0.05813740001576867
seed42,8,26,warm_start_20260831_030140,26,0.1861305528652083,0.1720445985024824,0.014085954362725889,427.2476001141026,389.4913761896632,37.75622392443944,472288.0,1830200.0,-1357912.0,48103.57600066815,186409.91258813025,-138306.3365874621,3191.08,29721.0,-26529.92,358317.1950144205,165951.11943328544,192366.07558113505,132762.2703752494,1149.150629309937,131613.11974593948,12550.11979329732,8131.641406734561,4418.478386562758,10545.378437184005,2004.7413561133144,8131.641406734561,0.0,0.0,0.0,554924.2411836354,391362.8240574602,163561.41712617525,29.474548954160667,1769224.0383449723,1100978.0932851234,668245.945059849,0.7800481122659779,0.485419519913735,29.462859235224293,227.0,740.0,79.0,1375.0,41.0,354.0,79.0,317.0,85.0,0.17255125721821016,0.000506658715727748,0.24466523029545353,0.058534677430245236
seed42,9,26,warm_start_20260831_030140,26,0.1856939619004292,0.1720445985024824,0.013649363397946784,428.2476001141022,389.4913761896632,38.75622392443904,455348.0,1830200.0,-1374852.0,46378.199583203976,186409.91258813025,-140031.71300492628,3041.28,29721.0,-26679.72,359550.19148049376,165951.11943328544,193599.07204720832,134279.29815809324,1149.150629309937,133130.1475287833,12202.069504187291,8131.641406734561,4070.42809745273,10252.925291374451,1949.14421281284,8131.641406734561,0.0,0.0,0.0,555451.0387259783,391362.8240574602,164088.21466851817,29.541436279403214,1770364.5517988568,1100978.0932851234,669386.4585137335,0.7805509628645649,0.485419519913735,29.513144295082995,231.0,740.0,69.0,1375.0,40.0,264.0,79.0,317.0,85.0,0.17255125721821016,0.000506658715727748,0.24489749450820714,0.05920353260777794
seed42,10,26,warm_start_20260831_030140,26,0.185306319655312,0.1720445985024824,0.013261721152829586,428.3578345096222,389.4913761896632,38.86645831995901,494712.0,1830200.0,-1335488.0,50387.50993131848,186409.91258813025,-136022.40265681176,3472.52,29721.0,-26248.48,355048.9795596355,165951.11943328544,189097.86012635008,130242.51477621848,1149.150629309937,129093.36414690854,11383.521233903488,8131.641406734561,3251.8798271689266,9565.130957821146,1818.390276082343,8131.641406734561,0.0,0.0,0.0,550535.0455010759,391362.8240574602,159172.22144361574,28.912277745868707,1759194.7947752173,1100978.0932851234,658216.701490094,0.775626234457127,0.485419519913735,29.020671454339197,245.0,740.0,105.0,1375.0,41.0,346.0,79.0,317.0,85.0,0.17255125721821016,0.000506658715727748,0.2427300407816657,0.057423721126353716
seed42,11,35,cold_start_20260830_174912,11,0.1844669162026829,0.1662783368718746,0.018188579330808308,430.2476001141024,403.2476001141024,27.0,450758.0,1697000.0,-1246242.0,45910.69794470572,172843.19837288657,-126932.50042818085,3140.1800000000003,27487.0,-24346.82,358588.7810763783,169743.4889242261,188845.2921521522,132660.50422204856,539.4503551612465,132121.05386688732,10749.024052700788,7061.550932185366,3687.473120515422,9031.987609127176,1717.036443573611,7061.550932185366,0.0,0.0,0.0,551049.1872958335,377674.6885844593,173374.49871137418,31.462617622607475,1771509.520806295,1129105.8245040884,642403.6963022067,0.7810557779097477,0.4978209926295383,28.32347852802094,231.0,683.0,97.0,1485.0,38.0,249.0,65.0,278.0,78.0,0.16651617969001675,0.00023784281814215325,0.24295672509509664,0.05848980889241373
seed42,12,35,cold_start_20260830_174912,11,0.1844436944185219,0.1662783368718746,0.018165357546647304,436.2476001141032,403.2476001141024,33.000000000000796,461010.0,1697000.0,-1235990.0,46954.88678956065,172843.19837288657,-125888.31158332592,3527.5,27487.0,-23959.5,358785.47417095845,169743.4889242261,189041.98524673234,134394.68999698985,539.4503551612465,133855.2396418286,9068.152876452164,7061.550932185366,2006.6019442667985,7619.616815091967,1448.5360613601983,7061.550932185366,0.0,0.0,0.0,552730.7038339612,377674.6885844593,175056.01524950186,31.671121946952347,1764727.9411537703,1129105.8245040884,635622.1166496819,0.7780657900441736,0.4978209926295383,28.024479741463537,252.0,683.0,113.0,1485.0,32.0,315.0,65.0,278.0,78.0,0.16651617969001675,0.00023784281814215325,0.2436981031076504,0.059254408689128485
seed42,13,35,cold_start_20260830_174912,11,0.1842310197452163,0.1662783368718746,0.017952682873341702,439.24760011410217,403.2476001141024,35.99999999999977,403256.0,1697000.0,-1293744.0,41072.51432118841,172843.19837288657,-131770.68405169816,2980.16,27487.0,-24506.84,365747.09365854994,169743.4889242261,196003.60473432383,140204.513037265,539.4503551612465,139665.06268210374,8053.879271835623,7061.550932185366,992.3283396502566,6767.362081615991,1286.5171902196323,7061.550932185366,0.0,0.0,0.0,558058.160288839,377674.6885844593,180383.4717043797,32.32341797690353,1784026.2302164298,1129105.8245040884,654920.4057123414,0.7865743755183866,0.4978209926295383,28.875338288884834,240.0,683.0,70.0,1485.0,29.0,168.0,65.0,278.0,78.0,0.16651617969001675,0.00023784281814215325,0.2460469703289516,0.06181595058373529
