b1_source_run,b1_source_solution_id,h2_global_solution_id,h2_source_run,h2_source_solution_id,n_h2_dominators,objective_distance,b1_lcoe_usd_kwh,h2_lcoe_usd_kwh,delta_lcoe_b1_minus_h2_usd_kwh,b1_peak_kw,h2_peak_kw,delta_peak_b1_minus_h2_kw,b1_annualized_capex_usd,h2_annualized_capex_usd,delta_capex_ann_b1_minus_h2_usd,b1_fixed_opex_usd,h2_fixed_opex_usd,delta_fixed_b1_minus_h2_usd,b1_grid_opex_usd,h2_grid_opex_usd,delta_grid_b1_minus_h2_usd,b1_dispatchable_opex_usd,h2_dispatchable_opex_usd,delta_dispatchable_b1_minus_h2_usd,b1_degradation_opex_usd,h2_degradation_opex_usd,delta_degradation_b1_minus_h2_usd,b1_total_annual_cost_usd,h2_total_annual_cost_usd,delta_total_b1_minus_h2_usd,h2_total_cost_advantage_percent,b1_lcoe_reconstructed,h2_lcoe_reconstructed,b1_lcoe_reconstruction_error,h2_lcoe_reconstruction_error,b1_E_grid_kwh,h2_E_grid_kwh,delta_E_grid_b1_minus_h2_kwh,b1_grid_dependency_ratio,h2_grid_dependency_ratio,delta_grid_dependency_pp,b1_pv_kw,h2_pv_kw,delta_pv_h2_minus_b1_kw,b1_bsv_kwh,h2_bsv_kwh,delta_bsv_h2_minus_b1_kwh,b1_chp_kw,b1_biomethane_storage_nm3,h2_fuelcell_kw,h2_electrolyzer_kw,h2_tank_kg
seed42,0,20,warm_start_20260831_030140,20,38,0.3465403487462649,0.1896951589458584,0.1777144879755587,0.0119806709702997,410.4523135750388,380.2476001141024,30.204713460936375,64763.54179787089,199797.3669158451,-135033.82511797422,3847.78,32082.8,-28235.02,342081.2063717721,161808.9255719445,180272.2807998276,19554.3115922703,9384.434829866905,10169.876762403395,0.0,0.0,0.0,430246.8397619133,403073.5273176565,27173.312444256793,6.31574945658956,0.18969515894585845,0.1777144879755587,5.551115123125783e-17,0.0,1704078.168846638,1066489.2780306388,637588.8908159991,0.7513254002618845,0.4702134551924365,28.111194506944802,303.0,773.0,470.0,50.0,1272.0,1222.0,63.0,369.0,88.0,369.0,94.0
seed42,1,20,warm_start_20260831_030140,20,38,0.3489886340704329,0.1896638543215509,0.1777144879755587,0.011949366345992196,410.89810198526726,380.2476001141024,30.650501871164863,64520.92983645414,199797.3669158451,-135276.43707939098,3821.76,32082.8,-28261.04,342368.2096320504,161808.9255719445,180559.2840601059,19464.938398826635,9384.434829866905,10080.50356895973,0.0,0.0,0.0,430175.8378673312,403073.5273176565,27102.31054967473,6.300286572123384,0.18966385432155103,0.1777144879755587,1.3877787807814457e-16,0.0,1705539.2499422634,1066489.2780306388,639049.9719116245,0.7519695886324972,0.4702134551924365,28.175613344006067,301.0,773.0,472.0,49.0,1272.0,1223.0,63.0,368.0,88.0,369.0,94.0
seed42,2,20,warm_start_20260831_030140,20,38,0.3515145796957238,0.1896327739858213,0.1777144879755587,0.011918286010262596,411.3515545949132,380.2476001141024,31.103954480810785,64278.3178750374,199797.3669158451,-135519.0490408077,3795.74,32082.8,-28287.059999999998,342656.4147807249,161808.9255719445,180847.4892087804,19374.87202502288,9384.434829866905,9990.437195155975,0.0,0.0,0.0,430105.3446807852,403073.5273176565,27031.817363128706,6.284929424253291,0.18963277398582132,0.1777144879755587,2.7755575615628914e-17,0.0,1707008.3436271965,1066489.2780306388,640519.0655965577,0.7526173097412076,0.4702134551924365,28.240385454877103,299.0,773.0,474.0,48.0,1272.0,1224.0,63.0,367.0,88.0,369.0,94.0
seed42,3,20,warm_start_20260831_030140,20,39,0.3733321258643872,0.1889148842379263,0.1777144879755587,0.011200396262367601,415.8640348984492,380.2476001141024,35.61643478434678,62814.29422541343,199797.3669158451,-136983.07269043167,3709.0,32082.8,-28373.8,343839.4643538265,161808.9255719445,182030.53878188197,18114.3432035941,9384.434829866905,8729.908373727196,0.0,0.0,0.0,428477.10178283404,403073.5273176565,25403.574465177546,5.928805613993555,0.1889148842379263,0.1777144879755587,0.0,0.0,1715505.6743248964,1066489.2780306388,649016.3962942576,0.7563637695599658,0.4702134551924365,28.615031436752925,290.0,773.0,483.0,55.0,1272.0,1217.0,62.0,350.0,88.0,369.0,94.0
seed42,4,20,warm_start_20260831_030140,20,40,0.3737262213655157,0.1880357124302613,0.1777144879755587,0.010321224454702599,417.2476001141025,380.2476001141024,37.000000000000114,56754.49520927126,199797.3669158451,-143042.87170657385,3602.44,32082.8,-28480.36,349010.749280054,161808.9255719445,187201.8237081095,17115.371193663115,9384.434829866905,7730.936363796211,0.0,0.0,0.0,426483.0556829884,403073.5273176565,23409.528365331877,5.488970324469948,0.18803571243026138,0.1777144879755587,8.326672684688674e-17,0.0,1728208.3270535602,1066489.2780306388,661719.0490229214,0.7619643492870158,0.4702134551924365,29.175089409457932,268.0,773.0,505.0,69.0,1272.0,1203.0,51.0,382.0,88.0,369.0,94.0
seed42,5,22,warm_start_20260831_030140,22,40,0.369944210338955,0.1874495245897559,0.1753223458816753,0.012127178708080583,417.7717201674743,384.2476001141024,33.52412005337192,56143.993069585296,195637.72270750764,-139493.72963792234,3542.5,31540.0,-27997.5,350380.80088874407,161424.66168627917,188956.1392024649,15086.231401977935,9045.534901640083,6040.696500337852,0.0,0.0,0.0,425153.5253603073,397647.91929542687,27505.60606488044,6.469570266780714,0.18744952458975594,0.1753223458816753,5.551115123125783e-17,0.0,1737340.9580901563,1070059.5641302571,667281.3939598992,0.7659909120318803,0.4717875887514979,29.42033232803824,268.0,741.0,473.0,69.0,1340.0,1271.0,51.0,345.0,84.0,360.0,93.0
seed42,6,22,warm_start_20260831_030140,22,42,0.4165179061443164,0.1869900375412441,0.1753223458816753,0.011667691659568796,425.24760011410217,384.2476001141024,40.99999999999977,51252.031479809375,195637.72270750764,-144385.69122769826,3381.8,31540.0,-28158.2,355961.2615918569,161424.66168627917,194536.59990557772,13516.27153117986,9045.534901640083,4470.736629539777,0.0,0.0,0.0,424111.3646028461,397647.91929542687,26463.445307419228,6.239739727842615,0.18699003754124413,0.1753223458816753,2.7755575615628914e-17,0.0,1751391.4319615308,1070059.5641302571,681331.8678312737,0.7721857439933885,0.4717875887514979,30.039815524189056,257.0,741.0,484.0,63.0,1340.0,1277.0,43.0,330.0,84.0,360.0,93.0
seed42,7,22,warm_start_20260831_030140,22,42,0.4090282300998038,0.1862552695362151,0.1753223458816753,0.010932923654539795,425.2476001141032,384.2476001141024,41.000000000000796,50319.06524698932,195637.72270750764,-145318.65746051833,3321.0,31540.0,-28219.0,355392.8733605029,161424.66168627917,193968.2116742237,13411.901589150451,9045.534901640083,4366.366687510368,0.0,0.0,0.0,422444.8401966426,397647.91929542687,24796.92090121575,5.869860048396639,0.18625526953621507,0.1753223458816753,-2.7755575615628914e-17,0.0,1753933.5228707297,1070059.5641302571,683873.9587404726,0.773306547900611,0.4717875887514979,30.151895914911314,248.0,741.0,493.0,77.0,1340.0,1263.0,43.0,310.0,84.0,360.0,93.0
seed42,8,26,warm_start_20260831_030140,26,42,0.4219165770470068,0.1861305528652083,0.1720445985024824,0.014085954362725889,427.2476001141026,389.4913761896632,37.75622392443944,48103.57600066815,186409.91258813025,-138306.3365874621,3191.08,29721.0,-26529.92,358317.1950144205,165951.11943328544,192366.07558113505,12550.11979329732,8131.641406734561,4418.478386562758,0.0,0.0,0.0,422161.97080838593,390213.67342815024,31948.297380235686,7.567781939017102,0.18613055286520835,0.1720445985024824,5.551115123125783e-17,0.0,1769224.0383449723,1100978.0932851234,668245.945059849,0.7800481122659779,0.485419519913735,29.462859235224293,227.0,740.0,513.0,79.0,1375.0,1296.0,41.0,354.0,79.0,317.0,85.0
seed42,9,26,warm_start_20260831_030140,26,42,0.4231953866803276,0.1856939619004292,0.1720445985024824,0.013649363397946784,428.2476001141022,389.4913761896632,38.75622392443904,46378.199583203976,186409.91258813025,-140031.71300492628,3041.28,29721.0,-26679.72,359550.19148049376,165951.11943328544,193599.07204720832,12202.069504187291,8131.641406734561,4070.42809745273,0.0,0.0,0.0,421171.740567885,390213.67342815024,30958.067139734747,7.350461618814354,0.18569396190042922,0.1720445985024824,2.7755575615628914e-17,0.0,1770364.5517988568,1100978.0932851234,669386.4585137335,0.7805509628645649,0.485419519913735,29.513144295082995,231.0,740.0,509.0,69.0,1375.0,1306.0,40.0,264.0,79.0,317.0,85.0
