b1_source_run,b1_source_solution_id,h2_global_solution_id,h2_source_run,h2_source_solution_id,n_h2_dominators,objective_distance,b1_lcoe_usd_kwh,h2_lcoe_usd_kwh,h2_lcoe_advantage_usd_kwh,h2_lcoe_advantage_percent,b1_peak_kw,h2_peak_kw,h2_peak_advantage_kw,h2_peak_advantage_percent,b1_pv_kw,h2_pv_kw,delta_pv_h2_minus_b1_kw,b1_bsv_kwh,h2_bsv_kwh,delta_bsv_h2_minus_b1_kwh,b1_capex_usd,h2_capex_usd,h2_capex_advantage_usd,h2_capex_advantage_percent,b1_E_grid_kwh,h2_E_grid_kwh,h2_grid_energy_advantage_kwh,h2_grid_energy_advantage_percent,b1_grid_dependency_ratio,h2_grid_dependency_ratio,h2_grid_dependency_advantage_pp,b1_chp_kw,b1_biomethane_storage_nm3,h2_fuelcell_kw,h2_electrolyzer_kw,h2_tank_kg,delta_dispatchable_electric_kw_h2_minus_b1
seed42,0,20,warm_start_20260831_030140,20,38,0.34654034874626494,0.1896951589458584,0.1777144879755587,0.0119806709702997,6.315749456589533,410.4523135750388,380.2476001141024,30.204713460936375,7.358884933027514,303.0,773.0,470.0,50.0,1272.0,1222.0,635858.0,1961640.0,-1325782.0,-208.50284182946507,1704078.168846638,1066489.2780306388,637588.8908159991,37.41547204067141,0.7513254002618845,0.4702134551924365,28.111194506944802,63.0,369.0,88.0,369.0,94.0,25.0
seed42,1,20,warm_start_20260831_030140,20,38,0.3489886340704329,0.1896638543215509,0.1777144879755587,0.011949366345992196,6.300286572123315,410.89810198526726,380.2476001141024,30.650501871164863,7.459392419452898,301.0,773.0,472.0,49.0,1272.0,1223.0,633476.0,1961640.0,-1328164.0,-209.66287594163,1705539.2499422634,1066489.2780306388,639049.9719116245,37.469086210314885,0.7519695886324972,0.4702134551924365,28.175613344006067,63.0,368.0,88.0,369.0,94.0,25.0
seed42,2,20,warm_start_20260831_030140,20,38,0.35151457969572386,0.1896327739858213,0.1777144879755587,0.011918286010262596,6.284929424253277,411.3515545949132,380.2476001141024,31.103954480810785,7.561404383518385,299.0,773.0,474.0,48.0,1272.0,1224.0,631094.0,1961640.0,-1330546.0,-210.83166691491283,1707008.3436271965,1066489.2780306388,640519.0655965577,37.522901864412,0.7526173097412076,0.4702134551924365,28.240385454877103,63.0,367.0,88.0,369.0,94.0,25.0
seed42,3,20,warm_start_20260831_030140,20,39,0.3733321258643872,0.1889148842379263,0.1777144879755587,0.011200396262367601,5.928805613993555,415.8640348984492,380.2476001141024,35.61643478434678,8.56444217231818,290.0,773.0,483.0,55.0,1272.0,1217.0,616720.0,1961640.0,-1344920.0,-218.0762744843689,1715505.6743248964,1066489.2780306388,649016.3962942576,37.832366631469476,0.7563637695599658,0.4702134551924365,28.615031436752925,62.0,350.0,88.0,369.0,94.0,26.0
seed42,4,20,warm_start_20260831_030140,20,40,0.3737262213655157,0.1880357124302613,0.1777144879755587,0.010321224454702599,5.488970324469899,417.2476001141025,380.2476001141024,37.000000000000114,8.867636384219328,268.0,773.0,505.0,69.0,1272.0,1203.0,557224.0,1961640.0,-1404416.0,-252.0379595997301,1728208.3270535602,1066489.2780306388,661719.0490229214,38.28931030271639,0.7619643492870158,0.4702134551924365,29.175089409457932,51.0,382.0,88.0,369.0,94.0,37.0
seed42,5,22,warm_start_20260831_030140,22,40,0.369944210338955,0.1874495245897559,0.1753223458816753,0.012127178708080583,6.469570266780678,417.7717201674743,384.2476001141024,33.52412005337192,8.02450679043879,268.0,741.0,473.0,69.0,1340.0,1271.0,551230.0,1920800.0,-1369570.0,-248.4570868784355,1737340.9580901563,1070059.5641302571,667281.3939598992,38.40820023568867,0.7659909120318803,0.4717875887514979,29.42033232803824,51.0,345.0,84.0,360.0,93.0,33.0
seed42,6,22,warm_start_20260831_030140,22,42,0.4165179061443164,0.1869900375412441,0.1753223458816753,0.011667691659568796,6.239739727842598,425.24760011410217,384.2476001141024,40.99999999999977,9.641441830359225,257.0,741.0,484.0,63.0,1340.0,1277.0,503200.0,1920800.0,-1417600.0,-281.7170111287759,1751391.4319615308,1070059.5641302571,681331.8678312737,38.90231820240166,0.7721857439933885,0.4717875887514979,30.039815524189056,43.0,330.0,84.0,360.0,93.0,41.0
seed42,7,22,warm_start_20260831_030140,22,42,0.4090282300998038,0.1862552695362151,0.1753223458816753,0.010932923654539795,5.869860048396655,425.2476001141032,384.2476001141024,41.000000000000796,9.641441830359444,248.0,741.0,493.0,77.0,1340.0,1263.0,494040.0,1920800.0,-1426760.0,-288.794429600842,1753933.5228707297,1070059.5641302571,683873.9587404726,38.990871080515646,0.773306547900611,0.4717875887514979,30.151895914911314,43.0,310.0,84.0,360.0,93.0,41.0
seed42,8,26,warm_start_20260831_030140,26,42,0.4219165770470068,0.1861305528652083,0.1720445985024824,0.014085954362725889,7.567781939017089,427.2476001141026,389.4913761896632,37.75622392443944,8.837082739459765,227.0,740.0,513.0,79.0,1375.0,1296.0,472288.0,1830200.0,-1357912.0,-287.51778575784266,1769224.0383449723,1100978.0932851234,668245.945059849,37.77056667650538,0.7800481122659779,0.485419519913735,29.462859235224293,41.0,354.0,79.0,317.0,85.0,38.0
seed42,9,26,warm_start_20260831_030140,26,42,0.42319538668032763,0.1856939619004292,0.1720445985024824,0.013649363397946784,7.350461618814347,428.2476001141022,389.4913761896632,38.75622392443904,9.049957060848172,231.0,740.0,509.0,69.0,1375.0,1306.0,455348.0,1830200.0,-1374852.0,-301.93434472096067,1770364.5517988568,1100978.0932851234,669386.4585137335,37.81065644550858,0.7805509628645649,0.485419519913735,29.513144295082995,40.0,264.0,79.0,317.0,85.0,39.0
