solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,biomethane_fuel_opex_annual_usd,chp_variable_opex_annual_usd,variable_biomethane_opex_annual_usd,variable_dispatchable_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,source_run,source_solution_id,global_solution_id
0,303.0,50.0,369.0,63.0,0.1896951589458584,0,inf,OPTIMAL,10.516999999999976,635858.0,64763.54179787089,3847.78,0.0,16430.728886686356,3123.5827055839454,19554.3115922703,19554.3115922703,0.0,342081.2063717721,123527.83006396622,1704078.168846638,2268096.0450061434,247055.66012793244,325732.2452614388,24.153760113727472,410.4523135750388,474.8149521321564,13.555309972463414,0.7584623988627253,75.84623988627253,0.7513254002618845,0.871161208902008,seed42,0,0
1,301.0,49.0,368.0,63.0,0.1896638543215509,0,0.0084535221066766,OPTIMAL,19.680999999999997,633476.0,64520.92983645414,3821.76,0.0,16355.6320619129,3109.306336913733,19464.938398826635,19464.938398826635,0.0,342368.2096320504,123624.74591530126,1705539.2499422634,2268096.0450061434,247249.4918306025,325732.2452614388,24.094253661575483,410.89810198526726,474.8149521321564,13.461423204949751,0.7590574633842452,75.90574633842452,0.7519695886324972,0.8718529016791198,seed42,1,1
2,299.0,48.0,367.0,63.0,0.1896327739858213,0,0.0249449872549662,OPTIMAL,10.009999999999982,631094.0,64278.3178750374,3795.74,0.0,16279.952784593755,3094.919240429126,19374.87202502288,19374.87202502288,0.0,342656.4147807249,123721.66176663636,1707008.3436271965,2268096.0450061434,247443.3235332727,325732.2452614388,24.03474720942348,411.3515545949132,474.8149521321564,13.36592229293978,0.7596525279057652,75.96525279057651,0.7526173097412076,0.8725451243669463,seed42,2,2
3,290.0,55.0,350.0,62.0,0.1889148842379263,0,0.1400558371700783,OPTIMAL,6.735000000000007,616720.0,62814.29422541343,3709.0,0.0,15220.77935263629,2893.5638509578107,18114.3432035941,18114.3432035941,0.0,343839.4643538265,123590.87600727436,1715505.6743248964,2268096.0450061434,247181.7520145487,325732.2452614388,24.115049826842903,415.8640348984492,474.8149521321564,12.4155562012081,0.758849501731571,75.8849501731571,0.7563637695599658,0.8723040671655659,seed42,3,3
4,268.0,69.0,382.0,51.0,0.1880357124302613,0,0.067910478871464,OPTIMAL,11.392999999999985,557224.0,56754.49520927126,3602.44,0.0,14381.381955130748,2733.989238532369,17115.371193663115,17115.371193663115,0.0,349010.749280054,128256.42888860004,1728208.3270535602,2268096.0450061434,256512.8577772001,325732.2452614388,21.250394608210165,417.2476001141025,474.8149521321564,12.124165795442565,0.7874960539178983,78.74960539178983,0.7619643492870158,0.9017907063109508,seed42,4,4
5,268.0,69.0,345.0,51.0,0.1874495245897559,0,0.0200129101431349,OPTIMAL,10.014999999999986,551230.0,56143.993069585296,3542.5,0.0,12676.374564149744,2409.856837828195,15086.231401977935,15086.231401977935,0.0,350380.80088874407,128256.65310745794,1737340.9580901563,2268096.0450061434,256513.30621491588,325732.2452614388,21.2502569375551,417.7717201674743,474.8149521321564,12.013781728761808,0.787497430624449,78.74974306244489,0.7659909120318803,0.9023960674292312,seed42,5,5
6,257.0,63.0,330.0,43.0,0.1869900375412441,0,0.1577965448831511,OPTIMAL,10.679999999999982,503200.0,51252.031479809375,3381.8,0.0,11357.198234247278,2159.073296932582,13516.27153117986,13516.27153117986,0.0,355961.2615918569,133217.92399661042,1751391.4319615308,2268096.0450061434,266435.84799322084,325732.2452614388,18.20403049769468,425.24760011410217,474.8149521321564,10.439298888013536,0.8179596950230532,81.79596950230533,0.7721857439933885,0.9337875566220616,seed42,6,6
7,248.0,77.0,310.0,43.0,0.1862552695362151,0,0.0029705795986558,OPTIMAL,11.180999999999983,494040.0,50319.06524698932,3321.0,0.0,11269.500223846226,2142.4013653042284,13411.901589150451,13411.901589150451,0.0,355392.8733605029,131861.20704270503,1753933.5228707297,2268096.0450061434,263722.41408541007,325732.2452614388,19.037056379315,425.2476001141032,474.8149521321564,10.439298888013337,0.80962943620685,80.962943620685,0.773306547900611,0.9256254183919416,seed42,7,7
8,227.0,79.0,354.0,41.0,0.1861305528652083,0,0.0450038944775594,OPTIMAL,7.930999999999989,472288.0,48103.57600066815,3191.08,0.0,10545.378437184005,2004.7413561133144,12550.11979329732,12550.11979329732,0.0,358317.1950144205,132762.2703752494,1769224.0383449723,2268096.0450061434,265524.5407504988,325732.2452614388,18.483802382725766,427.2476001141026,474.8149521321564,10.018082161156173,0.8151619761727423,81.51619761727423,0.7800481122659779,0.932169193012639,seed42,8,8
9,231.0,69.0,264.0,40.0,0.1856939619004292,0,0.0388418756605103,OPTIMAL,7.444999999999991,455348.0,46378.199583203976,3041.28,0.0,10252.925291374451,1949.14421281284,12202.069504187291,12202.069504187291,0.0,359550.19148049376,134279.29815809324,1770364.5517988568,2268096.0450061434,268558.5963161865,325732.2452614388,17.552345454581463,428.2476001141022,474.8149521321564,9.807473797727615,0.8244765454541854,82.44765454541853,0.7805509628645649,0.94155918988387,seed42,9,9
