global_solution_id,solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,source_run,source_solution_id,globally_nondominated,peak_normalized,lcoe_normalized,knee_distance,route,biomethane_storage_nm3,chp_kw,biomethane_fuel_opex_annual_usd,chp_variable_opex_annual_usd,variable_biomethane_opex_annual_usd,variable_dispatchable_opex_annual_usd,peak_norm,lcoe_norm,globally_dominated_cross_route
0,0,990.0,1241.0,441.0,200.0,117.0,0.1940992206737364,0,inf,OPTIMAL,9.649,2417120.0,246189.0109906137,38763.4,11863.383683771475,0.0,143419.8800744911,79.40785326847441,955761.9638480212,2268096.0450061434,158.81570653694882,325732.2452614388,99.95124348023651,351.2476001141024,474.8149521321564,26.02431778173262,0.0004875651976348,0.0487565197634886,0.4213939554951397,0.0636966585219058,warm_start_20260831_030140,0,True,0.0,1.0,0.0,H2,,,,,,,,,False
1,1,979.0,1264.0,434.0,165.0,116.0,0.1921594783204994,0,0.0841408067030589,OPTIMAL,9.621999999999996,2374880.0,241886.77368992387,38225.6,11660.391791420485,0.0,144063.3873078243,41.237728458392624,960230.1393193564,2268096.0450061434,82.47545691678525,325732.2452614388,99.97467998390808,352.2476001141024,474.8149521321564,25.813709418303983,0.0002532001609192,0.0253200160919251,0.4233639670743112,0.0637577952220659,warm_start_20260831_030140,1,True,0.008695652173913,0.962570761659424,0.0203177136262554,H2,,,,,,,,,False
2,2,914.0,1262.0,448.0,186.0,115.0,0.1911546434692603,0,0.0524128747330249,OPTIMAL,9.624999999999991,2348740.0,239224.35695128675,38213.8,11685.818203734922,0.0,144433.11568216726,55.87977583254344,962626.6655938964,2268096.0450061434,111.75955166508687,325732.2452614388,99.96568974877653,353.2476001141024,474.8149521321564,25.603101054875346,0.0003431025122348,0.0343102512234816,0.4244205917617078,0.0640061912764909,warm_start_20260831_030140,2,True,0.017391304347826,0.9431814839663416,0.0278792487463295,H2,,,,,,,,,False
3,3,975.0,1427.0,431.0,134.0,114.0,0.1906083361450367,0,0.0636887306784236,OPTIMAL,11.068999999999976,2379540.0,242361.4049830397,38518.8,11575.170990836446,0.0,139862.63738188316,0.0,932417.5825458876,2268096.0450061434,0.0,325732.2452614388,100.0,354.2476001141024,474.8149521321564,25.392492691446712,0.0,0.0,0.4111014542787415,0.0616652181418112,warm_start_20260831_030140,3,True,0.0260869565217391,0.932639946317568,0.0291844868828972,H2,,,,,,,,,False
4,4,867.0,1288.0,469.0,133.0,113.0,0.1891082855113361,0,0.0740721879521701,OPTIMAL,9.716000000000005,2315060.0,235793.974558123,38302.2,11885.524765858536,0.0,142934.0551221725,30.896962638197003,952749.5149888382,2268096.0450061434,61.793925276394006,325732.2452614388,99.9810292268649,355.2476001141024,474.8149521321564,25.18188432801808,0.0001897077313509,0.0189707731350935,0.4200657715031894,0.0631995734568293,warm_start_20260831_030140,4,True,0.0347826086956521,0.9036949925725424,0.0435029053381222,H2,,,,,,,,,False
5,5,905.0,1260.0,436.0,121.0,113.0,0.188107704181706,0,0.053907566162403,OPTIMAL,9.525999999999993,2273700.0,231581.36720119748,37167.0,11383.07512362078,0.0,146514.89756489487,92.59609718703103,976333.8686457596,2268096.0450061434,185.19219437406207,325732.2452614388,99.94314588221826,356.2522600419826,474.8149521321564,24.970294544804894,0.0005685411778174,0.0568541177817453,0.4304640761556088,0.0651381526011587,warm_start_20260831_030140,5,True,0.0435187819815669,0.8843877907664064,0.0509777512888871,H2,,,,,,,,,False
6,6,920.0,1252.0,427.0,118.0,110.0,0.1878668687133955,0,0.043795969416844,OPTIMAL,9.427,2263240.0,230515.99309690733,36786.8,11250.713342869698,0.0,147546.59547676385,254.2301011834528,982457.5627062364,2268096.0450061434,508.4602023669056,325732.2452614388,99.84390240457807,358.2476001141024,474.8149521321564,24.55005923773216,0.0015609759542191,0.1560975954219104,0.4331640032922746,0.0665355764480603,warm_start_20260831_030140,6,True,0.0608695652173913,0.8797406333079868,0.0419949313560279,H2,,,,,,,,,False
7,7,904.0,1294.0,429.0,105.0,112.0,0.187070762844149,0,0.0932810286329752,OPTIMAL,9.527999999999995,2255280.0,229705.24951467503,36891.6,11226.05492371375,0.0,146471.55290470785,30.741733723038426,976333.5579406782,2268096.0450061434,61.48346744607685,325732.2452614388,99.98112453761011,358.6139342315874,474.8149521321564,24.47290620878057,0.0001887546238989,0.0188754623898929,0.4304639391662242,0.0647583454988325,warm_start_20260831_030140,7,True,0.0640550792824782,0.8643789868116707,0.0506047571667755,H2,,,,,,,,,False
8,8,867.0,1280.0,428.0,88.0,107.0,0.1848962386193645,0,0.0365173655285643,OPTIMAL,11.298999999999976,2196500.0,223718.37668005028,36123.0,11045.143965568654,0.0,148475.90690347383,158.9286299405503,989097.7124167696,2268096.0450061434,317.8572598811006,325732.2452614388,99.90241762536404,361.2476001141024,474.8149521321564,23.91823414744625,0.0009758237463594,0.0975823746359475,0.4360916349175551,0.0663895689839927,warm_start_20260831_030140,8,True,0.0869565217391304,0.8224194011218532,0.0640808994837712,H2,,,,,,,,,False
9,9,849.0,1280.0,428.0,88.0,107.0,0.1842810581894472,0,0.0528869357640769,OPTIMAL,9.433999999999994,2178500.0,221885.03692123355,35943.0,10964.208889785265,0.0,149174.8934380134,158.92862994055042,993757.6226470334,2268096.0450061434,317.85725988110084,325732.2452614388,99.90241762536404,362.052265304304,474.8149521321564,23.748764928629907,0.0009758237463594,0.0975823746359476,0.4381461820521545,0.0666977510541826,warm_start_20260831_030140,9,True,0.0939536103495791,0.8105488890946205,0.0675269302293724,H2,,,,,,,,,False
