solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,source_run,source_solution_id,globally_nondominated
0,824.0,1045.0,318.0,162.0,83.0,0.1830818760792044,0,inf,OPTIMAL,9.623999999999995,1895000.0,193009.9357198704,29767.0,8492.669852511028,0.0,183977.67347516716,17969.958608672925,1142658.016327307,2268096.0450061434,35939.91721734585,325732.2452614388,88.96642326936353,387.6337937604121,474.8149521321564,18.361081086485864,0.1103357673063647,11.033576730636478,0.5037961328150953,0.1859051872286291,cold_start_20260830_174912,0,False
1,806.0,1067.0,319.0,101.0,80.0,0.1803703717043011,0,0.1133173778136413,OPTIMAL,9.711999999999986,1843340.0,187748.2506120664,29240.8,8438.172008162714,0.0,183670.10407858435,17584.324825928226,1142407.1780028972,2268096.0450061434,35168.64965185645,325732.2452614388,89.20320288719668,388.2476001141024,474.8149521321564,18.231808334873055,0.1079679711280332,10.79679711280332,0.5036855385900568,0.1835208019165417,cold_start_20260830_174912,1,False
2,718.0,1113.0,373.0,89.0,79.0,0.1792954398396375,0,0.1212878007219537,OPTIMAL,10.01499999999998,1864960.0,189950.2953668229,30612.2,9166.815322130118,0.0,176929.96729896573,14621.391509087189,1111299.954950698,2268096.0450061434,29242.78301817437,325732.2452614388,91.0224475950474,389.2476001141024,474.8149521321564,18.021199971444425,0.0897755240495259,8.977552404952592,0.4899704125835147,0.1632710859370531,cold_start_20260830_174912,2,False
3,718.0,1091.0,319.0,87.0,78.0,0.1764591528064686,0,0.1966529009322494,OPTIMAL,9.972999999999988,1749620.0,178202.66160116074,28304.4,8087.278666054844,0.0,185631.96631827063,16627.324982979415,1159952.2588679004,2268096.0450061434,33254.64996595883,325732.2452614388,89.79080197010644,390.2476001141024,474.8149521321564,17.81059160801578,0.1020919802989354,10.209198029893548,0.5114211373111224,0.1788051508956038,cold_start_20260830_174912,3,False
4,724.0,1348.0,314.0,105.0,78.0,0.1721224202277546,0,0.1816282206765246,OPTIMAL,9.749000000000008,1812960.0,184653.9805080191,29403.2,8005.064029291389,0.0,168327.93603814516,2010.179102625642,1112805.4044420477,2268096.0450061434,4020.358205251284,325732.2452614388,98.7657475537847,390.8885347476156,474.8149521321564,17.675605413786833,0.0123425244621528,1.2342524462152862,0.4906341629104307,0.0859376488987174,cold_start_20260830_174912,4,False
5,724.0,1415.0,309.0,86.0,75.0,0.1706047085571577,0,0.1664700086426579,OPTIMAL,10.309000000000005,1802400.0,183578.42118284665,29267.0,7895.101332003898,0.0,166207.34222306477,773.9840047878047,1104437.0227980888,2268096.0450061434,1547.9680095756094,325732.2452614388,99.52477286725691,393.2476001141024,474.8149521321564,17.17876651772987,0.0047522713274308,0.4752271327430851,0.4869445565278508,0.0777939548066084,cold_start_20260830_174912,5,False
6,698.0,1445.0,298.0,64.0,72.0,0.168111081056778,0,0.1320178637440135,OPTIMAL,11.509999999999978,1743900.0,177620.0669666923,28450.0,7552.431333827272,0.0,167669.57976606593,543.8937209801127,1115259.0277425323,2268096.0450061434,1087.7874419602254,325732.2452614388,99.6660485850619,396.2476001141024,474.8149521321564,16.54694142744396,0.003339514149381,0.3339514149381026,0.4917159615872931,0.0770969083874749,cold_start_20260830_174912,6,True
7,685.0,1437.0,289.0,88.0,70.0,0.1678128710398972,0,0.0538599807852005,OPTIMAL,10.005999999999998,1722940.0,175485.24466975906,27990.8,7308.592864950204,0.0,169831.07157200755,904.5878957756668,1127985.7336330975,2268096.0450061434,1809.1757915513333,325732.2452614388,99.44458191724334,398.2476001141024,474.8149521321564,16.125724700586687,0.0055541808275666,0.5554180827566688,0.4973271463158176,0.0801532527749393,cold_start_20260830_174912,7,True
8,669.0,1444.0,299.0,75.0,69.0,0.1674704637923121,0,0.0414070554943513,OPTIMAL,9.696999999999992,1719380.0,175122.65080634865,28144.6,7423.120725440836,0.0,169148.7250508982,876.5295383966329,1123567.6958268038,2268096.0450061434,1753.0590767932658,325732.2452614388,99.4618097832512,399.2476001141024,474.8149521321564,15.915116337158054,0.0053819021674879,0.5381902167487987,0.495379240354771,0.0796887882207036,cold_start_20260830_174912,8,True
9,668.0,1447.0,289.0,81.0,70.0,0.1669851234583562,0,0.0366944080342398,OPTIMAL,9.617999999999997,1703940.0,173550.05270211922,27822.8,7231.233627557205,0.0,170134.2117610839,703.1797098603678,1130946.573094544,2268096.0450061434,1406.3594197207356,325732.2452614388,99.56824679159658,399.9081249317324,474.8149521321564,15.776004286313006,0.0043175320840341,0.4317532084034128,0.4986325758049989,0.0791124184547839,cold_start_20260830_174912,9,True
