solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,E_grid_peak_opt_kWh,E_grid_peak_ref_kWh,scenario,label
0,832.0,775.0,356.0,430.0,93.0,0.1860095942961223,0,inf,OPTIMAL,11.805999999999996,2093400.0,175601.70873786407,33029.5,18719.086666750845,0.0,194537.3297516175,31811.61794370039,1175728.4157014485,2268096.0450061434,90890.33698200111,325732.2452614388,72.09661054310088,363.4791496889529,474.8149521321564,23.448251143577124,0.2790338945689912,27.903389456899124,0.5183768201924905,0.3827092586074894,90890.33698200111,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
1,821.0,778.0,351.0,395.0,91.0,0.1845912101241107,0,0.1219255792638147,OPTIMAL,11.955000000000002,2049460.0,171915.86796116503,32448.0,18409.92681957629,0.0,195896.7988446522,32398.216216180444,1182556.8829027084,2268096.0450061434,92566.33204622984,325732.2452614388,71.58207902569352,365.4791496889529,474.8149521321564,23.02703441671985,0.2841792097430647,28.41792097430648,0.5213874807049916,0.3884567058840631,92566.33204622984,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
2,794.0,785.0,353.0,368.0,92.0,0.1831141690851832,0,0.328778012468971,OPTIMAL,12.149,2013100.0,168865.8640776699,32173.5,18277.87366459892,0.0,196003.2849444214,31594.81168250229,1186327.3789342293,2268096.0450061434,90270.89052143513,325732.2452614388,72.28678098817572,365.9352596099437,474.8149521321564,22.930973852716395,0.2771321901182427,27.713219011824275,0.5230498865099938,0.3817421674202415,90270.89052143513,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
3,709.0,913.0,374.0,377.0,87.0,0.1803052945128303,0,0.3140126341377831,OPTIMAL,11.537,1997160.0,167528.76116504855,32726.5,18337.980878375463,0.0,190356.4833347944,25825.324088181274,1170661.0352293672,2268096.0450061434,73786.64025194652,325732.2452614388,77.34745597792322,369.4791496889529,474.8149521321564,22.18460096300529,0.2265254402207678,22.65254402207678,0.5161426200653669,0.3297539642338412,73786.64025194652,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
4,732.0,797.0,340.0,354.0,88.0,0.1802809738732353,0,0.1840676062403043,OPTIMAL,11.852999999999994,1914140.0,160564.75339805824,30859.5,17208.39436972025,0.0,200261.91606396245,32406.379132277696,1211626.567541549,2268096.0450061434,92589.65466365058,325732.2452614388,71.57491896777476,375.5496810129135,474.8149521321564,20.906096295723685,0.2842508103222522,28.425081032225226,0.5342042592108427,0.3910916621644208,92589.65466365058,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
5,704.0,796.0,340.0,342.0,87.0,0.1792789133817811,0,0.089550721900027,OPTIMAL,15.023000000000003,1877420.0,157484.55145631067,30463.0,16953.95547742671,0.0,201720.2874604793,32849.696769303075,1219660.214424898,2268096.0450061434,93856.27648372308,325732.2452614388,71.18606528856476,378.0315289226279,474.8149521321564,20.38339836917995,0.2881393471143524,28.81393471143524,0.5377462815608386,0.3956886034265201,93856.27648372308,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
6,706.0,903.0,330.0,392.0,84.0,0.1784143835018112,0,0.2381347914401967,OPTIMAL,11.807,1909060.0,160138.62524271844,30854.5,16564.407157643956,0.0,197103.42519230512,27572.572705998136,1208984.462402041,2268096.0450061434,78778.77915999468,325732.2452614388,75.81486625717224,379.0685397862196,474.8149521321564,20.16499520834117,0.2418513374282775,24.18513374282775,0.5330393591858524,0.348459209265448,78778.77915999468,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
7,639.0,758.0,336.0,332.0,85.0,0.1778829654553179,0,0.1348857555454178,OPTIMAL,11.663,1787460.0,149938.3922330097,29306.0,16073.82257455984,0.0,208137.43561560143,35899.12021006329,1250824.350922816,2268096.0450061434,102568.91488589512,325732.2452614388,68.51127993067699,388.78303147768935,474.8149521321564,18.119042011659648,0.31488720069323,31.488720069323005,0.5514865006166121,0.4251845008165524,102568.91488589512,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
8,621.0,755.0,335.0,344.0,82.0,0.1778806261762903,0,0.0141249223729654,OPTIMAL,11.74,1770100.0,148482.17475728155,29024.5,15788.722189726645,0.0,210154.9477666522,37228.94603811527,1259208.4287753378,2268096.0450061434,106368.4172517579,325732.2452614388,67.34483036323758,389.5750084333449,474.8149521321564,17.952245041155834,0.3265516963676243,32.65516963676243,0.5551830274330058,0.4375883018542255,106368.4172517579,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
9,650.0,800.0,340.0,344.0,89.0,0.1778637157279835,0,0.0162364523385453,OPTIMAL,11.914,1828100.0,153347.41747572814,30035.0,16360.165723509506,0.0,203669.40699349876,31842.926221201586,1236489.6610187476,2268096.0450061434,90979.78920343309,325732.2452614388,72.06914865600396,389.7129344492333,474.8149521321564,17.923196668675356,0.2793085134399605,27.93085134399605,0.5451663582506703,0.3883417850900945,90979.78920343309,325732.2452614388,tariff_035_with_h2,"0,35 USD/kWh | Com penalização"
