solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,E_grid_peak_opt_kWh,E_grid_peak_ref_kWh
0,1165.0,6000.0,0.0,0.0,0.0,0.14300161134240472,0,inf,OPTIMAL,8.279999999999985,2485000.0,208450.48543689318,38050.0,0.0,0.0,77840.90367832061,3.304023721284466e-11,518939.35785547056,2268096.0450061434,6.608047442568932e-11,325732.2452614388,99.99999999999997,291.5843076351977,474.8149521321564,38.58990616747883,2.0286746365147822e-16,2.0286746365147822e-14,0.22879955149962133,0.0343199327249434,6.608047442568932e-11,325732.2452614388
1,1152.0,6000.0,0.0,0.0,0.0,0.14246682501712496,0,0.06895435360452248,OPTIMAL,8.378999999999992,2472000.0,207360.0,37920.0,0.0,0.0,77848.44236592346,3.147704319417244e-11,518989.615772823,2268096.0450061434,6.295408638834488e-11,325732.2452614388,99.99999999999997,291.92635416824584,474.8149521321564,38.51786830693713,1.9326943311312871e-16,1.932694331131287e-14,0.2288217101368021,0.03432325652052051,6.295408638834488e-11,325732.2452614388
2,1139.0,6000.0,0.0,0.0,0.0,0.1419341379191299,0,0.048050926917898196,OPTIMAL,8.500999999999983,2459000.0,206269.5145631068,37790.0,0.0,0.0,77860.74230262822,3.076650045841234e-11,519071.6153508548,2268096.0450061434,6.153300091682468e-11,325732.2452614388,99.99999999999997,292.3810729020006,474.8149521321564,38.4221007386007,1.8890669195933347e-16,1.8890669195933348e-14,0.2288578636225473,0.03432867954338228,6.153300091682468e-11,325732.2452614388
3,1134.0,6000.0,0.0,0.0,0.0,0.14172992919294647,0,0.07180320652492057,OPTIMAL,12.33499999999998,2454000.0,205850.09708737864,37740.0,0.0,0.0,77866.99477414397,3.12070369545836e-11,519113.29849429306,2268096.0450061434,6.24140739091672e-11,325732.2452614388,99.99999999999997,292.5559647226755,474.8149521321564,38.38526705847129,1.9161159147468652e-16,1.916115914746865e-14,0.22887624165531623,0.034331436248297625,6.24140739091672e-11,325732.2452614388
4,1112.0,6000.0,0.0,0.0,0.0,0.1408338941670293,0,0.10608916905007416,OPTIMAL,10.533999999999983,2432000.0,204004.66019417476,37520.0,0.0,0.0,77900.13816887813,3.0880187296133954e-11,519334.25445918745,2268096.0450061434,6.176037459226791e-11,325732.2452614388,99.99999999999997,293.331620100884,474.8149521321564,38.22190754868219,1.8960473054394072e-16,1.8960473054394072e-14,0.2289736607947662,0.034346049119215113,6.176037459226791e-11,325732.2452614388
5,1094.0,6000.0,0.0,0.0,0.0,0.14010382334846616,0,0.1080533496326941,OPTIMAL,13.325999999999995,2414000.0,202494.75728155338,37340.0,0.0,0.0,77934.17034534208,3.0098590286797844e-11,519561.1356356138,2268096.0450061434,6.019718057359569e-11,325732.2452614388,99.99999999999997,293.95509928807445,474.8149521321564,38.090597617436195,1.8480571527476597e-16,1.8480571527476598e-14,0.22907369235071637,0.03436105385260764,6.019718057359569e-11,325732.2452614388
6,1071.0,6000.0,0.0,0.0,0.0,0.13917795782245743,0,0.11526677279688884,OPTIMAL,8.252999999999984,2391000.0,200565.43689320388,37110.0,0.0,0.0,77993.53879594366,3.0240698833949864e-11,519956.925306291,2268096.0450061434,6.048139766789973e-11,325732.2452614388,99.99999999999997,294.75960166317884,474.8149521321564,37.921162688841,1.8567826350552501e-16,1.85678263505525e-14,0.2292481953976877,0.03438722930965334,6.048139766789973e-11,325732.2452614388
7,1050.0,6000.0,0.0,0.0,0.0,0.13833881560037134,0,0.12996016625173407,OPTIMAL,14.041999999999994,2370000.0,198803.88349514562,36900.0,0.0,0.0,78061.83703889081,2.7853275241795927e-11,520412.24692593864,2268096.0450061434,5.5706550483591855e-11,325732.2452614388,99.99999999999997,295.4941473100137,474.8149521321564,37.76646123229747,1.7101945322877304e-16,1.7101945322877305e-14,0.2294489459878799,0.03441734189818216,5.5706550483591855e-11,325732.2452614388
8,1021.0,6000.0,0.0,0.0,0.0,0.13718924232711877,0,0.1239505641767412,OPTIMAL,14.730999999999998,2341000.0,196371.26213592233,36610.0,0.0,0.0,78177.11580360518,2.6631141736288555e-11,521180.7720240344,2268096.0450061434,5.326228347257711e-11,325732.2452614388,99.99999999999999,296.50851986992893,474.8149521321564,37.552825887546824,1.6351553844424524e-16,1.6351553844424524e-14,0.22978778750201592,0.034468168125302553,5.326228347257711e-11,325732.2452614388
9,1002.0,6000.0,0.0,0.0,0.0,0.136443085598051,0,0.11255240262064801,OPTIMAL,8.480999999999986,2322000.0,194777.47572815535,36420.0,0.0,0.0,78268.54708521876,2.7696955839928705e-11,521790.3139014583,2268096.0450061434,5.539391167985741e-11,325732.2452614388,99.99999999999997,297.17310878849275,474.8149521321564,37.41285790305528,1.7005965017493808e-16,1.7005965017493807e-14,0.2300565335627332,0.03450848003441015,5.539391167985741e-11,325732.2452614388
