solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,E_grid_peak_opt_kWh,E_grid_peak_ref_kWh
0,1000.0,924.0,450.0,205.0,117.0,0.18054682494611393,0,inf,OPTIMAL,11.419999999999993,2378380.0,199506.827184466,37858.6,12102.997533250302,0.0,160029.11488098116,12811.699173072395,1007072.83639887,2268096.0450061434,25623.39834614479,325732.2452614388,92.13360091949787,351.2476001141024,474.8149521321564,26.02431778173262,0.07866399080502139,7.866399080502139,0.444016838976562,0.1452665166515057,25623.39834614479,325732.2452614388
1,1013.0,919.0,417.0,187.0,117.0,0.1792185608802728,0,0.1480637829703147,OPTIMAL,11.215999999999992,2313480.0,194062.78834951457,36538.6,11441.20007102625,0.0,164442.32070369867,13157.77559347991,1034879.1852550851,2268096.0450061434,26315.55118695982,325732.2452614388,91.92110957088744,356.14144756469705,474.8149521321564,24.99363257929348,0.08078890429112558,8.078890429112558,0.45627661471112085,0.14923039649779368,26315.55118695982,325732.2452614388
2,1008.0,1042.0,407.0,146.0,112.0,0.1750722801042846,0,0.2125964506998117,OPTIMAL,15.907000000000005,2284440.0,191626.81165048544,36188.8,11196.996986392429,0.0,158068.13745785778,6933.615226910575,1021430.7119934692,2268096.0450061434,13867.23045382115,325732.2452614388,95.74275170617787,356.2476001141024,474.8149521321564,24.971275964589434,0.0425724829382214,4.25724829382214,0.4503472038772073,0.11012456351980249,13867.23045382115,325732.2452614388
3,847.0,1289.0,485.0,140.0,111.0,0.1713365714570576,0,0.12893709307356901,OPTIMAL,9.151999999999985,2328880.0,195354.59417475728,38710.6,11977.50076860986,0.0,142565.1051432977,48.952869302646405,950205.5875652388,2268096.0450061434,97.90573860529281,325732.2452614388,99.96994287792211,357.3868046780365,474.8149521321564,24.731349955768835,0.00030057122077893096,0.030057122077893097,0.4189441578796391,0.0631421949027248,97.90573860529281,325732.2452614388
4,872.0,1269.0,465.0,138.0,110.0,0.17070716208327133,0,0.03030654643665059,OPTIMAL,9.056999999999992,2306980.0,193517.54563106794,38021.6,11836.123049159723,0.0,143804.97049506276,125.53110587107005,958113.99147302,2268096.0450061434,251.0622117421401,325732.2452614388,99.92292374629947,358.24760011410234,474.8149521321564,24.55005923773217,0.0007707625370053029,0.07707625370053028,0.4224309607975287,0.06413540665663461,251.0622117421401,325732.2452614388
5,874.0,1270.0,463.0,129.0,110.0,0.17044088353402748,0,0.07156768543100776,OPTIMAL,9.065999999999992,2299800.0,192915.26213592233,37912.0,11806.15563599022,0.0,143942.87607896788,120.81895982077059,959055.352047289,2268096.0450061434,241.63791964154117,325732.2452614388,99.92581700978127,358.2476001141024,474.8149521321564,24.550059237732157,0.0007418299021872952,0.07418299021872952,0.42284600520287546,0.06416873068261861,241.63791964154117,325732.2452614388
6,940.0,1267.0,407.0,128.0,105.0,0.16958185426136735,0,0.09612335475401708,OPTIMAL,9.406999999999996,2246040.0,188405.6854368932,36117.8,10902.19239287897,0.0,149202.25512524333,409.08257516375795,992772.648817525,2268096.0450061434,818.1651503275159,325732.2452614388,99.7488227947249,363.2476001141024,474.8149521321564,23.497017420588982,0.002511772052750999,0.2511772052750999,0.4377119086307635,0.06816855834736552,818.1651503275159,325732.2452614388
7,966.0,1303.0,378.0,137.0,103.0,0.16902435524696688,0,0.057779273647629845,OPTIMAL,10.155999999999993,2224760.0,186620.64466019417,35352.2,10380.388818500725,0.0,151010.23816666403,158.0076490327413,1005997.5520822741,2268096.0450061434,316.0152980654826,325732.2452614388,99.9029831087764,365.24760011410234,474.8149521321564,23.07580069373172,0.000970168912236008,0.0970168912236008,0.44354274780261754,0.06750158108262863,316.0152980654826,325732.2452614388
8,944.0,1422.0,394.0,125.0,102.0,0.16832753212914103,0,0.04906552258910174,OPTIMAL,9.669999999999998,2252440.0,188942.53980582525,36184.8,10636.581322284897,0.0,146019.08875963915,4.966622608108224,973437.4141587564,2268096.0450061434,9.933245216216449,325732.2452614388,99.9969504875981,366.2476001141024,474.8149521321564,22.865192330303064,3.0495124018943354e-05,0.0030495124018943354,0.4291870339009915,0.06440855020916766,9.933245216216449,325732.2452614388
9,938.0,1319.0,399.0,106.0,100.0,0.16811012168475772,0,0.0788604947517014,OPTIMAL,9.573000000000004,2219780.0,186202.9048543689,35679.6,10717.85220559341,0.0,148689.54505873815,165.3054056688781,990492.2084984663,2268096.0450061434,330.6108113377562,325732.2452614388,99.89850227720856,368.2476001141024,474.8149521321564,22.4439756034458,0.0010149772279143007,0.10149772279143007,0.43670646605963437,0.06652094713685945,330.6108113377562,325732.2452614388
10,912.0,1473.0,377.0,109.0,100.0,0.16604792868394577,0,0.09038846199172398,OPTIMAL,9.691999999999995,2185460.0,183324.02330097088,35235.2,10130.744160143537,0.0,147922.6828684052,0.0,986151.2191227013,2268096.0450061434,0.0,325732.2452614388,100.0,368.6405407147513,474.8149521321564,22.36121902661846,0.0,0.0,0.4347925306311401,0.06521887959467101,0.0,325732.2452614388
11,916.0,1362.0,366.0,115.0,96.0,0.16591667789714773,0,0.057410887089997586,OPTIMAL,9.878999999999992,2141440.0,179631.47184466018,34226.8,9907.678846434534,0.0,152549.01024798432,80.17591015214569,1016619.247405852,2268096.0450061434,160.35182030429138,325732.2452614388,99.95077189236343,372.2476001141024,474.8149521321564,21.601542149731245,0.0004922810763656205,0.04922810763656205,0.4482258366634109,0.06772615657587726,160.35182030429138,325732.2452614388
12,934.0,1419.0,362.0,72.0,100.0,0.16529273315733342,0,0.04736862501680371,OPTIMAL,10.332999999999995,2143380.0,179794.2058252427,34395.6,9890.309742377392,0.0,150819.67877478368,3.0344330700988564,1005450.364477564,2268096.0450061434,6.068866140197713,325732.2452614388,99.99813685435554,373.0937085434525,474.8149521321564,21.423344638142638,1.8631456444622877e-05,0.0018631456444622877,0.4433014936432468,0.06651385550293164,6.068866140197713,325732.2452614388
13,888.0,1500.0,368.0,117.0,94.0,0.164735091683916,0,0.06224142059947749,OPTIMAL,9.650999999999996,2146400.0,180047.53398058252,34568.0,9836.176147106364,0.0,149183.29979432546,1.5025700553574382,994548.3199685782,2268096.0450061434,3.0051401107148763,325732.2452614388,99.99907742013436,374.2476001141024,474.8149521321564,21.18032542287397,9.22579865650972e-06,0.000922579865650972,0.4384947992649422,0.06578344568839783,3.0051401107148763,325732.2452614388
