source_run,source_solution_id,available_heat_credit_usd_year,b1_source_run,b1_source_solution_id,annual_heat_credit_break_even_usd,margin_usd_year
seed43,16,1330.7355654398093,seed43,16,825.4988166494044,505.23674879040493
seed42,23,2893.349938633851,seed42,23,46349.27483697034,-43455.92489833649
seed43,15,2279.78142930262,seed43,15,48765.54717285319,-46485.765743550575
seed43,14,2178.9098790267685,seed43,14,49865.48404662226,-47686.57416759549
seed42,4,7431.562412199131,seed42,4,62847.34956260443,-55415.787150405304
seed43,12,1904.3033049022447,seed43,12,63234.01067379285,-61329.70736889061
seed42,3,7865.320041866595,seed42,3,63469.466605095935,-55604.14656322934
seed42,2,8412.646681927557,seed42,2,63508.81977337301,-55096.17309144545
seed42,1,8451.753860532648,seed42,1,63579.31295991877,-55127.55909938612
seed42,0,8490.560057461646,seed42,0,63650.31485450103,-55159.754797039386
seed42,5,6550.501824359334,seed42,5,64318.295692731335,-57767.793868372
seed43,11,2005.2599923172872,seed43,11,64979.97570601188,-62974.71571369459
seed43,10,2109.778147809617,seed43,10,65435.87772508944,-63326.09957727983
seed43,13,1876.3711034095013,seed43,13,66744.35403084604,-64867.98292743653
seed42,10,4942.770306475713,seed42,10,66788.76597987296,-61845.99567339724
seed42,9,5298.187229029165,seed42,9,67667.97582290058,-62369.78859387142
seed42,11,4667.269100622923,seed42,11,68335.23289353999,-63667.963792917064
seed42,8,5449.312052256065,seed42,8,68658.20606340148,-63208.894011145414
seed43,9,2117.28374366836,seed43,9,68897.73191437969,-66780.44817071133
seed42,7,5823.501143986125,seed42,7,68941.07545165834,-63117.574307672214
seed43,8,2225.8084679040508,seed43,8,69116.50180946603,-66890.69334156199
seed43,2,2684.443573966202,seed43,2,70417.67994558136,-67733.23637161516
seed42,6,5868.818988943896,seed42,6,70607.59985786169,-64738.78086891779
seed42,16,3058.011461407788,seed42,16,70853.17436885547,-67795.16290744768
seed43,1,2916.8339364181898,seed43,1,70853.6569119243,-67936.82297550612
seed42,12,3937.428134171485,seed42,12,70971.57979068511,-67034.15165651363
seed42,17,2520.629859389307,seed42,17,71831.25317709016,-69310.62331770085
seed43,0,2841.0624927594654,seed43,0,71850.03108417716,-69008.9685914177
seed42,15,3343.7506904749857,seed42,15,73553.60175264989,-70209.8510621749
seed42,14,3489.453966094517,seed42,14,74054.62226000607,-70565.16829391156
seed42,13,3497.026491083265,seed42,13,74326.1962947974,-70829.16980371413
seed43,5,2661.020835678661,seed43,5,76051.02713407023,-73390.00629839157
seed43,4,2669.151440851273,seed43,4,76128.46384115968,-73459.31240030841
seed43,3,2676.904209232448,seed43,3,76217.89510659821,-73540.99089736576
