hour_of_week,t_global,hour,demand_kw,pv_kw,p_grid_kw,p_pv_used_kw,p_pv_curtail_kw,p_bat_ch_kw,p_bat_dis_kw,p_elz_kw,p_fc_kw,soc_bat_kwh,h2_level_kg,p_unserved_kw,blackout_flag
0,4368.0,4368.0,419.9626993542198,0.0,364.4902578941872,0.0,0.0,0.0,0.0,0.0,78.2027899004596,82.17,27.281837738261107,-0.0,0.0
1,4369.0,4369.0,418.5385096558323,0.0,364.4902578941872,0.0,0.0,0.0,0.0,0.0,71.08402261297579,82.17,23.109651723463266,-0.0,0.0
2,4370.0,4370.0,422.57143746613554,0.0,364.4902578941872,0.0,0.0,0.0,0.0,0.0,66.21319207946527,82.17,18.99783661576462,-0.0,0.0
3,4371.0,4371.0,420.2134544649997,0.0,364.4902578941872,0.0,0.0,0.0,0.0,0.0,68.4160491050668,82.17,14.796801032432432,-0.0,0.0
4,4372.0,4372.0,416.7163425182925,0.0,364.4902578941872,0.0,0.0,0.0,0.0,0.0,75.19745047276311,82.17,11.587841926482188,-0.0,0.0
5,4373.0,4373.0,325.9949609517052,0.0,316.97965121677606,0.0,0.0,0.0,0.0,0.0,0.0,82.17,8.362423480290637,-0.0,0.0
6,4374.0,4374.0,316.90729570697,0.0,312.3706257747724,0.0,0.0,0.0,0.0,0.0,0.0,82.17,7.066120002550305,-0.0,0.0
7,4375.0,4375.0,149.32214398218508,182.93436206995065,0.0,182.93436206995065,0.0,0.0,0.0,32.76622567740188,0.0,82.17,7.691196808086578,-0.0,0.0
8,4376.0,4376.0,150.76569303735226,353.40204967816135,0.0,353.40204967816135,0.0,0.0,0.0,201.8521895267544,0.0,82.17,11.962549074086894,-0.0,0.0
9,4377.0,4377.0,149.17972410792763,499.78597162530616,0.0,499.5274730610227,0.0,0.0,0.0,349.67354716025693,0.0,82.17,18.728776772192973,-0.0,0.0
10,4378.0,4378.0,117.5873951508843,612.1103055415559,0.0,491.8466610188936,113.05427122715406,0.0,0.0,374.0,0.0,82.17,26.583562250740822,-0.0,0.0
11,4379.0,4379.0,121.79428313973968,682.720333695257,0.0,504.6058983499347,185.4493079315978,0.0,0.0,374.0,0.0,98.75272737214588,34.43834772928868,-0.0,0.0
12,4380.0,4380.0,120.44425620302,706.8040993563228,0.0,667.1863044787715,16.820033802286957,164.8252818082441,0.0,374.0,0.0,256.1719925853431,42.29313320783653,-0.0,0.0
13,4381.0,4381.0,118.51435004140994,682.720333695257,0.0,682.720333695257,0.0,190.4140947613992,0.0,374.0,0.0,434.3762732368858,50.14791868638439,-0.0,0.0
14,4382.0,4382.0,120.02275907932096,612.1103055415559,0.0,607.7014484044938,0.0,111.27635962517309,0.0,374.0,0.0,547.8000000000001,58.00270416493224,-0.0,0.0
15,4383.0,4383.0,121.8818587844506,499.78597162530616,0.0,493.5599603752656,0.0,0.0,0.0,374.0,0.0,547.8000000000001,65.837820417003,-0.0,0.0
16,4384.0,4384.0,261.4246107262296,353.40204967816135,0.0,353.40204967816135,0.0,0.0,0.0,91.61544422028904,0.0,547.8000000000001,68.19493214028991,-0.0,0.0
17,4385.0,4385.0,261.7992099333755,182.93436206995085,70.9163545838247,182.93436206995085,0.0,0.0,0.0,0.0,0.0,547.8000000000001,67.14686570165993,-0.0,0.0
18,4386.0,4386.0,258.20256141406907,8.655853779009485e-14,147.3234258824767,0.0,0.0,0.0,1.4596324149351858e-13,0.0,87.0,547.8,61.92634364945471,-0.0,0.0
19,4387.0,4387.0,339.9561154803338,0.0,0.0,0.0,0.0,0.0,241.73974147254935,0.0,87.0,279.6459773696044,56.70582159724949,-0.0,0.0
20,4388.0,4388.0,342.94550947458856,0.0,59.287353815606565,0.0,0.0,0.0,182.0638552606432,0.0,87.0,82.17,51.48529954504427,-0.0,0.0
21,4389.0,4389.0,340.0243628753021,0.0,333.9259342572769,0.0,0.0,0.0,0.0,0.0,22.47029447314403,82.17,50.77443051564972,-0.0,0.0
22,4390.0,4390.0,419.7174905277428,0.0,355.07261041390063,0.0,0.0,0.0,0.0,0.0,87.0,82.17,46.09870186676182,-0.0,0.0
23,4391.0,4391.0,420.7529588079656,0.0,355.07261041390063,0.0,0.0,0.0,0.0,0.0,87.0,82.17,41.173179993461794,-0.0,0.0
24,4308.0,4308.0,414.5312223670039,0.0,355.4316093200747,0.0,0.0,0.0,0.0,0.0,87.0,82.17,36.90695288746201,-0.0,0.0
25,4309.0,4309.0,419.46424204282846,0.0,355.07261041390063,0.0,0.0,0.0,0.0,0.0,87.0,82.17,33.08208044871874,-0.0,0.0
26,4310.0,4310.0,418.52244598750394,0.0,355.07261041390063,0.0,0.0,0.0,0.0,0.0,87.0,82.17,29.070112202257825,-0.0,0.0
27,4311.0,4311.0,420.4813640512756,0.0,353.7696068557143,0.0,0.0,0.0,0.0,0.0,87.0,82.17,24.04850791958388,-0.0,0.0
28,4312.0,4312.0,417.3057172027522,0.0,342.3667815789237,0.0,0.0,0.0,0.0,0.0,87.0,82.17,19.21897016829677,-0.0,0.0
29,4313.0,4313.0,319.47082960341606,0.0,258.09263476169383,0.0,0.0,0.0,0.0,0.0,87.0,82.17,17.994448802654993,-0.0,0.0
30,4314.0,4314.0,321.75914078361734,0.0,295.7481413182427,0.0,0.0,0.0,0.0,0.0,6.488626829235227,82.17,14.663780483155604,-0.0,0.0
31,4315.0,4315.0,151.71849414699685,183.55005009581254,0.0,183.55005009581254,0.0,0.0,0.0,34.922071948905554,0.0,82.17,15.50900343865511,-0.0,0.0
32,4316.0,4316.0,147.19768409382635,354.5914676083952,0.0,354.5914676083952,0.0,0.0,0.0,204.16923913046108,0.0,82.17,19.589095095445984,-0.0,0.0
33,4317.0,4317.0,150.93670242283434,501.46806259357265,0.0,499.65709614731367,0.0,0.0,0.0,340.6989218066751,0.0,82.17,27.26852950633191,-0.0,0.0
34,4318.0,4318.0,116.54405685573681,614.1704378281545,0.0,491.5641738770197,122.88069576129271,0.0,0.0,374.0,0.0,82.17,35.12331498487977,-0.0,0.0
35,4319.0,4319.0,116.96307279600131,685.0181126893851,0.0,506.65455691472226,183.70443413689645,0.0,0.0,374.0,0.0,104.10589984772591,42.97810046342762,-0.0,0.0
36,4320.0,4320.0,120.96934144642988,708.2678523207842,0.0,667.7356834100032,0.0,164.3796469328085,0.0,374.0,0.0,290.29448606447625,50.832885941975476,-0.0,0.0
37,4321.0,4321.0,119.06894992685392,685.0181126893851,0.0,675.2132724105047,0.0,178.1163319778732,0.0,374.0,0.0,440.722904997204,58.68767142052333,-0.0,0.0
38,4322.0,4322.0,122.40243078567931,614.1704378281545,0.0,609.744100370315,0.0,110.02262756648503,0.0,374.0,0.0,546.6513721513202,66.54245689907118,-0.0,0.0
39,4323.0,4323.0,117.74274464647206,501.46806259357265,0.0,494.29042134933434,0.0,1.2458618253868678,0.0,374.0,0.0,547.8000000000001,74.3410881510369,-0.0,0.0
40,4324.0,4324.0,258.88752237121275,354.5914676083952,0.0,354.5914676083952,0.0,0.0,0.0,94.00049533001099,0.0,547.8000000000001,76.43520911248417,-0.0,0.0
41,4325.0,4325.0,258.66535611764095,183.5500500958127,76.36571719715816,183.5500500958127,0.0,0.0,0.0,0.0,0.0,547.8000000000001,76.43520911248416,-0.0,0.0
42,4326.0,4326.0,261.1858485728808,8.684986116231675e-14,152.87341353473977,0.0,0.0,0.0,1.4596324149351858e-13,0.0,87.0,547.8,71.21468706027895,-0.0,0.0
43,4327.0,4327.0,343.7228216551084,0.0,0.0,0.0,0.0,0.0,236.45992641946668,0.0,87.0,285.389518727913,65.99416500807371,-0.0,0.0
44,4328.0,4328.0,338.7215915157682,0.0,51.94669215834189,0.0,0.0,0.0,187.35913875016584,0.0,87.0,82.17,60.77364295586849,-0.0,0.0
45,4329.0,4329.0,341.42192963740285,0.0,263.41983736801365,0.0,0.0,0.0,0.0,0.0,87.0,82.17,56.265509978178855,-0.0,0.0
46,4330.0,4330.0,416.3437733890192,0.0,346.0847951664042,0.0,0.0,0.0,0.0,0.0,87.0,82.17,51.26421146699958,-0.0,0.0
47,4331.0,4331.0,421.47549709636667,0.0,342.8542557172423,0.0,0.0,0.0,0.0,0.0,87.0,82.17,46.62812326028417,-0.0,0.0
48,4332.0,4332.0,421.8067502828654,0.0,349.81406468627245,0.0,0.0,0.0,0.0,0.0,87.0,82.17,41.407601208078944,-0.0,0.0
49,4333.0,4333.0,421.3176156617578,0.0,337.96251924038893,0.0,0.0,0.0,0.0,0.0,87.0,82.17,36.59681532713477,-0.0,0.0
50,4334.0,4334.0,416.38083207637,0.0,333.25804706980455,0.0,0.0,0.0,0.0,0.0,87.0,82.17,31.82764888025266,-0.0,0.0
51,4335.0,4335.0,421.1959779442327,0.0,336.9264831883588,0.0,0.0,0.0,0.0,0.0,87.0,82.17,27.670162266870697,-0.0,0.0
52,4336.0,4336.0,419.4574933823434,0.0,335.8822684712028,0.0,0.0,0.0,0.0,0.0,87.0,82.17,23.39220833457093,-0.0,0.0
53,4337.0,4337.0,319.3104920490733,0.0,233.8802249441364,0.0,0.0,0.0,0.0,0.0,87.0,82.17,18.715347883844466,-0.0,0.0
54,4338.0,4338.0,321.5923405622165,0.0,234.59234056221652,0.0,0.0,0.0,0.0,0.0,87.0,82.17,14.55230350538428,-0.0,0.0
55,4339.0,4339.0,151.2497114031591,183.55007466328016,0.0,183.55007466328016,0.0,0.0,0.0,33.144202683207155,0.0,82.17,15.114005484282186,-0.0,0.0
56,4340.0,4340.0,151.1744195170839,354.5915150690982,0.0,354.5915150690982,0.0,0.0,0.0,207.05051590946994,0.0,82.17,19.370704516212978,-0.0,0.0
57,4341.0,4341.0,147.5763429725236,501.4681297131425,0.0,497.85216503445815,0.0,0.0,0.0,352.1888608343554,0.0,82.17,26.943889689797242,-0.0,0.0
